;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;Programa: 231G Atención a la infancia y a las familias;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
31.03;;SECRETARÍA DE ESTADO DE JUVENTUD E INFANCIA;;;
;1;GASTOS DE PERSONAL;;;
;11;Personal eventual;;253,20;
;;TOTAL GASTOS DE PERSONAL;;253,20;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE JUVENTUD E INFANCIA;;253,20;
 ; ;;;;
 ; ;;;;
31.04;;DIRECCIÓN GENERAL DE DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;1.133,87;
;13;Laborales;;482,19;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;366,13;
;16000; Seguridad Social;366,13;;
;;TOTAL GASTOS DE PERSONAL;;2.043,23;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;2.262,40;
;22601; Atenciones protocolarias y representativas;2,40;;
;23;Indemnizaciones por razón del servicio;;23,22;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.285,62;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;35.000,00;
;450;Para la atención a niños, niñas y adolescentes migrantes no acompañados;;35.000,00;
;46;A Entidades Locales;;0,01;
;461;Proyectos de experimentación social que permitan desarrollar y testar distintas formas de intervención para contribuir a la preservación familiar, prevenir el desamparo y apoyar el retorno de los niños y niñas a sus familias, financiados por el FSE+;;0,01;
;48;A familias e instituciones sin fines de lucro;;1.748,60;
;480;A EAPN y POI para la promoción de iniciativas para la lucha contra la pobreza infantil y la exclusión social;;250,00;
;481;A la Federación Interautonómica de Entidades Colaboradoras en Adopción Internacional (FIDECAI) para apoyar su estructura organizativa e institucional;;40,00;
;482;A la Federación de Organismos Acreditados de Adopción Internacional (ECA) para apoyo a la estructura organizativa e institucional;;20,00;
;483;A la POI, para sostén. econ-financ. estruct. central y ent. asoc: Acción Familiar, Aldeas Infantiles SOS, Asoc.Nuevo Futuro, Asoc.Mensajeros de la Paz, Muchachos Ciudad Esc. Form. Sociocultural, Conf. Centros Juv. Don Bosco, Coord. Est. Plataf. Soc. Salesianas, Confed. Mejor Interés Infancia ,FAPMI, F.Esp. Padres de Niños con Cáncer, Fun. Anar, Fun. Atyme, Fun. Diagrama, Fun. Esplai, Fun. Márgenes-Vínculos, Fun. Meniños ,Fun. Vicki Bernadet, Fed. Injucam, LEECP, Movimiento Scout Católico, S.E. Pediatría Social, Fun. Unicef-C.E, Ymca España;;1.333,57;
;484;Proyectos de experimentación social en indicadores de detección temprana del riesgo de negligencia y maltrato sobre los niños y niñas, financiados por el FSE+;;0,01;
;485;Proyectos de creación de recursos residenciales de base familiar para los niños, niñas y adolescentes tutelados por las administraciones públicas, financiados por el FSE+;;0,01;
;486;Proyectos de experimentación social, dirigidos a niños y niñas de distintos perfiles, sobre modelos de intervención para la respuesta a trastornos de apego y traumas por adversidad temprana, financiados por el FSE+;;0,01;
;487;Para actuaciones en el ámbito de la infancia y la adolescencia;;105,00;
;48700; A la Associació Centre Cultural Sant Vicenç de Sarrià para la integración de colectivos en situación de riesgo de exclusión social a partir de la cultura;15,00;;
;48701; Associació Superacció para la creación de espacios de acogida para jóvenes migrantes en riesgo de exclusión social;90,00;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;36.748,61;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;52,00;
;760;Para actuaciones de atención a la infancia y a las familias;;52,00;
;76000; Ajuntament de Gallifa. Adecuación de la buharda de la Casa Consitorial de Gallifa para jardín de infancia;52,00;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;52,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA;;41.129,46;
 ; ;;;;
 ; ;;;;
;;TOTAL Atención a la infancia y a las familias;;41.382,66;
;;



