Económica;Explicación;33.03;33.04 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;2.699,98;2.699,98;2.699.980,00
12;Funcionarios;—;2.330,24;2.330,24;2.330.240,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;369,74;369,74;369.740,00
4;TRANSFERENCIAS CORRIENTES;150;2.395,00;2.545,00;2.545.000,00
44;A entidades públicas estatales;—;1.045,00;1.045,00;1.045.000,00
48;A familias e instituciones sin fines de lucro;150;1.350,00;1.500,00;1.500.000,00
6;INVERSIONES REALES;3.620,35;14.582,76;18.203,11;18.203.110,00
64;Gastos de inversiones de carácter inmaterial;3.620,35;14.582,76;18.203,11;18.203.110,00
7;TRANSFERENCIAS DE CAPITAL;6.500,00;24.300,00;30.800,00;30.800.000,00
74;A entidades públicas estatales;—;10.000,00;10.000,00;10.000.000,00
75;A Comunidades Autónomas;—;1.000,00;1.000,00;1.000.000,00
76;A Entidades Locales;500;5.000,00;5.500,00;5.500.000,00
77;A empresas privadas;6.000,00;5.300,00;11.300,00;11.300.000,00
78;A familias e instituciones sin fines de lucro;—;3.000,00;3.000,00;3.000.000,00
8;ACTIVOS FINANCIEROS;5.000,00;144.825,40;149.825,40;149.825.400,00
82;Préstamos al Sector Público;2.500,00;5.000,00;7.500,00;7.500.000,00
83;Préstamos fuera del Sector Público;2.500,00;17.649,77;20.149,77;20.149.770,00
87;Aportaciones patrimoniales;—;122.175,63;122.175,63;122.175.630,00
—;TOTAL PROGRAMA 467I;15.270,35;188.803,14;204.073,49;204.073.490,00
