;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 222M Prestaciones económicas del Mutualismo Administrativo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.102;;MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;1.704,53;
;150;Productividad;;1.680,43;
;151;Gratificaciones;;24,10;
;16000; Seguridad Social;2.809,75;;
;16200; Formación y perfeccionamiento del personal;36,00;;
;16204; Acción social;155,74;;
;;TOTAL GASTOS DE PERSONAL;;31.536,02;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;166,50;
;22109; Labores Fábrica Nacional Moneda y Timbre;1,40;;
;22502; Locales;614,46;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.455,30;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;137,03;
;352;Intereses de demora;;60,00;
;359;Otros gastos financieros;;77,03;
;;TOTAL GASTOS FINANCIEROS;;137,03;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;278.889,32;
;480;Subsidios e Indemnizaciones;;191.683,00;
;481;Protección a la familia;;39.500,00;
;482;Servicios Sociales;;17.969,64;
;483;Asistencia Social;;567,50;
;486;Prestaciones económicas Mutualidades integradas;;29.169,18;
;;TOTAL TRANSFERENCIAS CORRIENTES;;278.889,32;
 ; ;;;;
;6;INVERSIONES REALES;;3.290,86;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;180,30;
;830;Préstamos a corto plazo;;80,30;
;831;Préstamos a largo plazo;;100,00;
;;TOTAL ACTIVOS FINANCIEROS;;180,30;
 ; ;;;;
;;TOTAL MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;;320.488,83;
 ; ;;;;
 ; ;;;;
;;TOTAL Prestaciones económicas del Mutualismo Administrativo;;320.488,83;
;;



