;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 467G Investigación y desarrollo de la Sociedad de la Información;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.04;;SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;2.778,17;
;13;Laborales;;660,00;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;620,70;
;16000; Seguridad Social;620,70;;
;;TOTAL GASTOS DE PERSONAL;;4.058,87;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;5.000,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;5.000,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;187,84;
;442;A Red.es;;187,84;
;;TOTAL TRANSFERENCIAS CORRIENTES;;187,84;
 ; ;;;;
;6;INVERSIONES REALES;;4.900,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;500,00;
;740;España Digital 2025;;500,00;
;75;A Comunidades Autónomas;;800,00;
;750;España Digital 2025;;800,00;
;76;A Entidades Locales;;500,00;
;760;España Digital 2025;;500,00;
;77;A empresas privadas;;5.800,00;
;770;España Digital 2025;;800,00;
;772;Key Digital Technologies (KDT);;5.000,00;
;78;A familias e instituciones sin fines de lucro;;3.500,00;
;782;España Digital 2025;;500,00;
;783;Key Digital Technologies (KDT);;3.000,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;11.100,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;1.000,00;
;831;Préstamos a largo plazo;;1.000,00;
;87;Aportaciones patrimoniales;;15.000,00;
;871;Aportación a Red.es para innovación en inteligencia artificial;;15.000,00;
;;TOTAL ACTIVOS FINANCIEROS;;16.000,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;;41.246,71;
 ; ;;;;
 ; ;;;;
33.05;;SECRETARÍA GENERAL DE ADMINISTRACIÓN DIGITAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;71,16;
;12;Funcionarios;;10.682,45;
;13;Laborales;;388,88;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.732,66;
;16000; Seguridad Social;1.732,66;;
;;TOTAL GASTOS DE PERSONAL;;12.875,15;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;4.260,45;
;22;Material, suministros y otros;;12.639,71;
;22601; Atenciones protocolarias y representativas;4,68;;
;23;Indemnizaciones por razón del servicio;;76,70;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;16.976,86;
 ; ;;;;
;6;INVERSIONES REALES;;17.607,34;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE ADMINISTRACIÓN DIGITAL;;47.459,35;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y desarrollo de la Sociedad de la Información;;88.706,06;
;;



