;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 467I Innovación tecnológica de las telecomunicaciones;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.03;;SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;150,00;
;485;A la Asociación Española de Normalización (UNE) para costes de apoyo al CTN-133, posicionamiento español en ETSI y difusión de normas;;150,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;150,00;
 ; ;;;;
;6;INVERSIONES REALES;;3.620,35;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;500,00;
;768;A Fundación Barcelona Mobile World Capital Foundation para la realización de actuaciones en el ámbito de la tecnología 5G "Observatorio Nacional 5G";;500,00;
;77;A empresas privadas;;6.000,00;
;771;A la Sociedad de Garantía Recíproca Audiovisual Fianzas SGR para la dotación de su fondo de provisiones técnicas;;500,00;
;772;A Donostialdea Ikusentzunezkoak S.A. para proyectos de digitalización y gestión inteligente de los Medios y Audiovisuales en Euskera;;500,00;
;773;A Euskal Irrati Zerbitzuak S.L. para proyecto de digitalización y gestión inteligente de los medios audiovisuales en euskera;;1.000,00;
;776;Para programas de desarrollo del Hub audiovisual;;4.000,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;6.500,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;82;Concesión de préstamos al Sector Público;;2.500,00;
;821;Préstamos a largo plazo;;2.500,00;
;82110; Línea ENISA Impulso Sector Audiovisual;2.500,00;;
;83;Concesión de préstamos fuera del Sector Público;;2.500,00;
;831;Préstamos a largo plazo;;2.500,00;
;83113; A la Conferencia de Autoridades Audiovisuales y Cinematográficas de Iberoamérica para el fondo IBERMEDIA;2.500,00;;
;;TOTAL ACTIVOS FINANCIEROS;;5.000,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;;15.270,35;
 ; ;;;;
 ; ;;;;
33.04;;SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;2.330,24;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;369,74;
;16000; Seguridad Social;369,74;;
;;TOTAL GASTOS DE PERSONAL;;2.699,98;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1.045,00;
;441;A la Fundación Residencia de Estudiantes para gastos de funcionamiento y desarrollo de la Sociedad de la Información;;120,00;
;443;A INCIBE para gastos en el impulso de España como nodo internacional en el ámbito de la ciberseguridad;;305,00;
;446;A Red.es;;400,00;
;448;A INCIBE;;220,00;
;48;A familias e instituciones sin fines de lucro;;1.350,00;
;485;A la Asociación Española de Normalización (UNE) para soporte a secretaría, actividad normalización y acción internacional en comités tecnologías digitales y digitalización;;150,00;
;486;A la Federación Española de Municipios y Provincias para la Oficina Técnica de apoyo a la Red Española de Ciudades Inteligentes (RECI);;200,00;
;488;A la asociación Gaia para la creación de un ecosistema español de compartición de datos;;1.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.395,00;
 ; ;;;;
;6;INVERSIONES REALES;;14.582,76;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;10.000,00;
;740;España Digital 2025;;500,00;
;743;A Red.es;;6.500,00;
;74303; A Red.es para talento y emprendimiento digital;4.500,00;;
;74304; A Red.es para digitalización;1.000,00;;
;74309; A Red.es para la Estrategia España Digital 2025;1.000,00;;
;744;A INCIBE;;3.000,00;
;74401; A INCIBE para desarrollo industrial;3.000,00;;
;75;A Comunidades Autónomas;;1.000,00;
;759;España Digital 2025;;1.000,00;
;76;A Entidades Locales;;5.000,00;
;768;A la Fundación Barcelona Mobile World Capital;;5.000,00;
;77;A empresas privadas;;5.300,00;
;773;Key Digital Technologies (KDT);;3.500,00;
;776;España Digital 2025;;1.000,00;
;778;A la Organización del South Summit España;;800,00;
;78;A familias e instituciones sin fines de lucro;;3.000,00;
;782;España Digital 2025;;500,00;
;783;Key Digital Technologies (KDT);;2.500,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;24.300,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;82;Concesión de préstamos al Sector Público;;5.000,00;
;822;A ENISA para apoyo a las startups lideradas por mujeres emprendedoras;;5.000,00;
;83;Concesión de préstamos fuera del Sector Público;;17.649,77;
;831;Préstamos a largo plazo;;17.649,77;
;87;Aportaciones patrimoniales;;122.175,63;
;872;A Red.es para aportación de socio a INCIBE;;20.000,00;
;873;A Red.es para el desarrollo de España como nación emprendedora;;17.000,00;
;874;A Red.es para digitalización de la PYME;;15.000,00;
;876;Aportación a Red.es;;70.175,63;
;;TOTAL ACTIVOS FINANCIEROS;;144.825,40;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;;188.803,14;
 ; ;;;;
 ; ;;;;
;;TOTAL Innovación tecnológica de las telecomunicaciones;;204.073,49;
;;



