;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 46SD C19.I04 Profesionales digitales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;33.50;;Total;
6;INVERSIONES REALES;5.000,00;;5.000,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;5.000,00;;5.000,00;
;TOTAL;5.000,00;;5.000,00;
;;



