;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 491M Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.03;;SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;12.973,68;
;13;Laborales;;2.481,89;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.761,86;
;16000; Seguridad Social;1.761,86;;
;;TOTAL GASTOS DE PERSONAL;;17.278,47;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;30,00;
;481;A la Fundación Círculo de Tecnologías para la Defensa y Seguridad para costes de actividades de fomento de iniciativas para el desarrollo de tecnologías de aplicación a la Defensa y la Seguridad;;30,00;
;49;Al exterior;;2.684,78;
;492;Para abonar las cuotas que se deriven del acuerdo firmado con el Instituto Europeo de Normas de Telecomunicaciones y (ETSI) y Digital Video Broadcasting (DVB);;175,00;
;493;Para satisfacer las obligaciones que se deriven para España de nuestra participación en la Oficina Europea de Comunicaciones (ECO);;256,08;
;494;Para satisfacer las obligaciones de la pertenencia de España a la Conferencia Europea de Administraciones Postales y de Telecomunicaciones (CEPT), así como abonar las cuotas de participación y servicios derivados del Acuerdo con la CEPT sobre motorización de telecomunicaciones por satélite, a través de la Oficina Europea de Radiocomunicaciones (ERO);;103,00;
;495;Para satisfacer las obligaciones que se deriven para España del cumplimiento del Convenio Internacional de Telecomunicaciones (Nairobi 1982) y con la Secretaría General de la Unión Internacional de las Telecomunicaciones;;2.150,00;
;496;Cuota a la Asociación para el Cumplimiento de los Equipos Radio y Terminales de Telecomunicación (R&TTE CA);;0,70;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.714,78;
 ; ;;;;
;6;INVERSIONES REALES;;15.260,69;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;250,00;
;746;A Red.es para actividades de apoyo al desarrollo de la Agenda Digital;;250,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;250,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;87;Aportaciones patrimoniales;;2.000,00;
;877;A la Sociedad Estatal de Participaciones Industriales (SEPI) para el Proyecto Estratégico para la Recuperación y Transformación Económica de Microelectrónica y Semiconductores (PERTE Chip);;2.000,00;
;;TOTAL ACTIVOS FINANCIEROS;;2.000,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;;37.503,94;
 ; ;;;;
 ; ;;;;
;;TOTAL Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;;37.503,94;
;;



