;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921N Dirección y organización de la Administración Pública;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;33.06;;Total;
1;GASTOS DE PERSONAL;16.691,83;;16.691,83;
10; Altos cargos;263,42;;263,42;
11; Personal eventual;253,40;;253,40;
12; Funcionarios;11.729,91;;11.729,91;
13; Laborales;140,00;;140,00;
15; Incentivos al rendimiento;3.079,44;;3.079,44;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.225,66;;1.225,66;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.405,72;;1.405,72;
20; Arrendamientos y cánones;180,00;;180,00;
21; Reparaciones, mantenimiento y conservación;55,03;;55,03;
22; Material, suministros y otros;897,94;;897,94;
23; Indemnizaciones por razón del servicio;272,75;;272,75;
4;TRANSFERENCIAS CORRIENTES;1.344,69;;1.344,69;
47; A empresas privadas;16,74;;16,74;
48; A familias e instituciones sin fines de lucro;1.233,95;;1.233,95;
49; Al exterior;94,00;;94,00;
6;INVERSIONES REALES;1.076,00;;1.076,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;10,00;;10,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;70,00;;70,00;
64; Gastos de inversiones de carácter inmaterial;996,00;;996,00;
;TOTAL;20.518,24;;20.518,24;
;;



