;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921O Formación del personal de las Administraciones Públicas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;33.101;;Total;
1;GASTOS DE PERSONAL;23.166,33;;23.166,33;
10; Altos cargos;61,74;;61,74;
12; Funcionarios;17.435,36;;17.435,36;
13; Laborales;840,97;;840,97;
15; Incentivos al rendimiento;633,96;;633,96;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.194,30;;4.194,30;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.070,46;;27.070,46;
20; Arrendamientos y cánones;142,50;;142,50;
21; Reparaciones, mantenimiento y conservación;480,00;;480,00;
22; Material, suministros y otros;23.814,96;;23.814,96;
23; Indemnizaciones por razón del servicio;2.433,00;;2.433,00;
24; Gastos de publicaciones;200,00;;200,00;
3;GASTOS FINANCIEROS;0,82;;0,82;
35; Intereses de demora y otros gastos financieros;0,82;;0,82;
4;TRANSFERENCIAS CORRIENTES;63.616,43;;63.616,43;
45; A Comunidades Autónomas;53.587,34;;53.587,34;
46; A Entidades Locales;20,00;;20,00;
48; A familias e instituciones sin fines de lucro;9.858,09;;9.858,09;
49; Al exterior;151,00;;151,00;
6;INVERSIONES REALES;3.394,49;;3.394,49;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;93,79;;93,79;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;751,98;;751,98;
64; Gastos de inversiones de carácter inmaterial;2.548,72;;2.548,72;
8;ACTIVOS FINANCIEROS;50,00;;50,00;
83; Concesión de préstamos fuera del Sector Público;50,00;;50,00;
;TOTAL;117.298,53;;117.298,53;
;;



