Económica;Explicación;Total (miles euros);Total (euros)
45;A Comunidades Autónomas;101.726,02;101.726.020,00
451;Línea COVID RDL 5/2021 (incluye ejercicios anteriores);50.000,00;50.000.000,00
454;Actuaciones en diversas Comunidades Autónomas;50.000,00;50.000.000,00
45411;A Canarias para atención a menores inmigrantes;50.000,00;50.000.000,00
459;Otras transferencias a Comunidades Autónomas;1.726,02;1.726.020,00
45902;País Vasco por costes de traspaso fuera de cupo;1.152,75;1.152.750,00
45903;Navarra por costes de traspaso fuera de la aportación;573,27;573.270,00
75;A Comunidades Autónomas;271.461,22;271.461.220,00
753;Factor de Insularidad – Illes Balears (RDL 4/2019);109.661,22;109.661.220,00
754;Actuaciones en diversas Comunidades Autónomas;106.000,00;106.000.000,00
75409;Catalunya Media City – Generalitat de Catalunya;60.000,00;60.000.000,00
75410;Transición energética en edificaciones – Mossos d'Esquadra;25.000,00;25.000.000,00
75411;Transición energética en flotas de vehículos – Mossos d'Esquadra;18.000,00;18.000.000,00
75412;Recuperación del Fuerte de San Cristóbal – Navarra (memoria histórica);3.000,00;3.000.000,00
755;Proyectos de inversión y gastos complementarios – Cantabria;55.000,00;55.000.000,00
757;Rehabilitación y reforma del IES Sagasta – La Rioja;800;800.000,00
;Transferencias Corrientes;101.726,02;101.726.020,00
;Transferencias de Capital;271.461,22;271.461.220,00
;Secretaría General – Comunidades Autónomas;373.187,24;373.187.240,00
 ;Programa 941O – Total;373.187,24;373.187.240,00
