;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 37 OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;
;Programa: 942N Otras transferencias a Entidades Locales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
37.02;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;46;A Entidades Locales;;1.708.840,56;
;461;Compensaciones que puedan reconocerse a los municipios;;5.362,40;
;463;A Entidades Locales con saldo global negativo de la liquidación de 2020;;1.681.828,16;
;464;Financiación de los costes de funcionamiento de las plantas desalinizadoras de las Ciudades de Ceuta y de Melilla;;8.000,00;
;465;Para financiar actuaciones en Melilla;;10.250,00;
;466;Para financiar actuaciones en Ceuta;;3.250,00;
;469;Actuaciones en diversas Entidades Locales;;150,00;
;46903; SALINAS DE AÑANA para la fundación valle salado;150,00;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.708.840,56;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;198.552,30;
;765;Para financiar inversiones en municipios del Campo de Gibraltar;;7.300,00;
;766;Para reconstrucción de infraestructuras como consecuencia de siniestros, catástrofes u otras situaciones de reconocida urgencia;;58.322,99;
;768;Plan de recuperación de La Palma;;100.000,00;
;769;Actuaciones en diversas Entidades Locales;;32.929,31;
;76910; A la Diputación Foral de Gipuzkoa para la adquisición de terrenos y construcción del nuevo albergue. Orio;5.000,00;;
;76911; Al Ayuntamiento de Sukarrieta para Proyecto constructivo de reparación del camino peatonal entre los PK 24+310 y 24+638 de la línea Amorebieta-Bermeo en Sukarrieta;600,00;;
;76912; A la Diputación Foral de Bizkaia actuaciones singulares de desarrollo sostenible en el entorno del Estuario de Urdaibai;25.329,31;;
;76913; Al Ayuntamiento de Vilanova i la Geltrú para espacio social y comunitario. Edificio Calderas;2.000,00;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;198.552,30;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;1.907.392,86;
 ; ;;;;
 ; ;;;;
;;TOTAL Otras transferencias a Entidades Locales;;1.907.392,86;
;;



