;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 04 TRIBUNAL CONSTITUCIONAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;TRIBUNAL CONSTITUCIONAL;;;
v;;911P;;Control Constitucional;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;2.232,23;
;;;100;Retribuciones básicas y otras remuneraciones;;2.232,23;
;;;10000; Retribuciones básicas;638,71;;
;;;10001; Retribuciones complementarias;1.593,52;;
v;;;11;Personal eventual;;1.218,48;
;;;110;Retribuciones básicas y otras remuneraciones;;1.218,48;
;;;11000; Retribuciones básicas;281,04;;
;;;11001; Retribuciones complementarias;937,44;;
v;;;12;Funcionarios;;15.679,35;
;;;120;Retribuciones básicas;;5.961,28;
;;;12000; Sueldos del grupo A1 y grupo A;1.572,89;;
;;;12001; Sueldos del grupo A2 y grupo B;430,52;;
;;;12002; Sueldos del grupo C1 y grupo C;581,24;;
;;;12003; Sueldos del grupo C2 y grupo D;220,90;;
;;;12005; Trienios;1.222,38;;
;;;12006; Pagas extraordinarias;1.933,35;;
;;;121;Retribuciones complementarias;;9.718,07;
;;;12100; Complemento de destino;7.715,47;;
;;;12101; Complemento específico;89,41;;
;;;12103; Otros complementos;998,19;;
;;;12181; Necesidades adicionales;915,00;;
v;;;13;Laborales;;935,23;
;;;130;Laboral fijo;;935,23;
;;;13000; Retribuciones básicas;396,40;;
;;;13001; Otras remuneraciones;538,83;;
v;;;15;Incentivos al rendimiento;;234,38;
v;;;151;Gratificaciones;;234,38;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;952,93;
;;;160;Cuotas sociales;;703,81;
v;;;16000; Seguridad Social;703,81;;
;;;162;Gastos sociales del personal;;249,12;
v;;;16200; Formación y perfeccionamiento del personal;109,79;;
v;;;16204; Acción social;129,17;;
;;;16205; Seguros;5,08;;
;;;16209; Otros;5,08;;
;;;;TOTAL GASTOS DE PERSONAL;;21.252,60;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;31,88;
v;;;202;Arrendamientos de edificios y otras construcciones;;20,00;
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;7,00;
;;;204;Arrendamientos de medios de transporte;;2,44;
;;;205;Arrendamientos de mobiliario y enseres;;2,44;
v;;;21;Reparaciones, mantenimiento y conservación;;799,00;
;;;212;Edificios y otras construcciones;;61,00;
;;;213;Maquinaria, instalaciones y utillaje;;700,00;
;;;215;Mobiliario y enseres;;30,00;
;;;216;Equipos para procesos de la información;;8,00;
v;;;22;Material, suministros y otros;;5.524,68;
;;;220;Material de oficina;;897,00;
;;;22000; Ordinario no inventariable;85,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;242,00;;
;;;22002; Material informático no inventariable;570,00;;
;;;221;Suministros;;659,61;
;;;22100; Energía eléctrica;450,00;;
;;;22101; Agua;17,21;;
;;;22103; Combustible;64,00;;
;;;22104; Vestuario;26,00;;
;;;22106; Productos farmacéuticos y material sanitario;6,40;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;11,00;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;15,00;;
;;;22199; Otros suministros;70,00;;
;;;222;Comunicaciones;;361,00;
;;;22200; Servicios de telecomunicaciones;286,00;;
;;;22201; Postales y mensajería;75,00;;
;;;223;Transportes;;23,00;
;;;225;Tributos;;149,00;
v;;;22502; Locales;149,00;;
;;;226;Gastos diversos;;198,91;
v;;;22601; Atenciones protocolarias y representativas;69,00;;
;;;22602; Publicidad y propaganda;4,00;;
;;;22603; Jurídicos, contenciosos;5,00;;
;;;22606; Reuniones, conferencias y cursos;120,40;;
;;;22607; Oposiciones y pruebas selectivas;0,51;;
;;;227;Trabajos realizados por otras empresas y profesionales;;3.236,16;
;;;22700; Limpieza y aseo;764,00;;
;;;22701; Seguridad;29,16;;
;;;22706; Estudios y trabajos técnicos;2.363,00;;
;;;22799; Otros;80,00;;
v;;;23;Indemnizaciones por razón del servicio;;232,40;
;;;230;Dietas;;145,00;
;;;231;Locomoción;;82,50;
;;;233;Otras indemnizaciones;;4,90;
v;;;24;Gastos de publicaciones;;70,90;
;;;240;Gastos de edición y distribución;;70,90;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.658,86;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;3,00;
v;;;359;Otros gastos financieros;;3,00;
;;;;TOTAL GASTOS FINANCIEROS;;3,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;1.321,54;
v;;;480;Pensión exPresidentes del Tribunal Constitucional (Ley 21/86);;134,29;
v;;;481;Remuneraciones de transición Magistrados (art. 25.1 Ley Orgánica del Tribunal Constitucional, 2/1979, de 3 de octubre);;904,05;
v;;;482;A la Asociación de Letrados del Tribunal Constitucional;;18,00;
v;;;487;Becas formación;;259,20;
v;;;488;Premio "Tomás y Valiente";;6,00;
v;;;49;Al exterior;;2,00;
v;;;490;Cuota a la Conferencia Mundial de Justicia Constitucional;;2,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.323,54;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;250,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;250,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;950,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;950,00;
;;;;TOTAL INVERSIONES REALES;;1.200,00;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;48,00;
v;;;830;Préstamos a corto plazo;;48,00;
;;;83008; Familias e instituciones sin fines de lucro;48,00;;
;;;;TOTAL ACTIVOS FINANCIEROS;;48,00;
 ; ;;;;;;
;;;;TOTAL Control Constitucional;;30.486,00;
 ; ;;;;;;
;;;;TOTAL TRIBUNAL CONSTITUCIONAL;;30.486,00;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL TRIBUNAL CONSTITUCIONAL;;30.486,00;
;;



