Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;912N;1;GASTOS DE PERSONAL;11.170,76;11.170.760,00
1;912N;10;Altos cargos;1.028,00;1.028.000,00
1;912N;11;Personal eventual;472,99;472.990,00
1;912N;12;Funcionarios;6.920,20;6.920.200,00
1;912N;13;Laborales;637,15;637.150,00
1;912N;15;Incentivos al rendimiento;1.387,73;1.387.730,00
1;912N;150;Productividad;1.304,77;1.304.770,00
1;912N;151;Gratificaciones;82,96;82.960,00
1;912N;16;Cuotas, prestaciones y gastos sociales;724,69;724.690,00
1;912N;16000;Seguridad Social;623,67;623.670,00
1;912N;16200;Formación y perfeccionamiento del personal;38,69;38.690,00
1;912N;16204;Acción social;62,33;62.330,00
1;912N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;2.874.100,00
1;912N;20;Arrendamientos y cánones;25;25.000,00
1;912N;21;Reparaciones, mantenimiento y conservación;474,8;474.800,00
1;912N;22;Material, suministros y otros;1.983,30;1.983.300,00
1;912N;22502;Locales;65;65.000,00
1;912N;22601;Atenciones protocolarias y representativas;95;95.000,00
1;912N;23;Indemnizaciones por razón del servicio;330;330.000,00
1;912N;24;Gastos de publicaciones;61;61.000,00
1;912N;4;TRANSFERENCIAS CORRIENTES;232,96;232.960,00
1;912N;48;A familias e instituciones sin fines de lucro;232,96;232.960,00
1;912N;6;INVERSIONES REALES;400;400.000,00
1;912N;62;Inversión nueva funcionamiento operativo;45;45.000,00
1;912N;63;Inversión de reposición funcionamiento operativo;325;325.000,00
1;912N;64;Gastos de inversiones de carácter inmaterial;30;30.000,00
1;912N;8;ACTIVOS FINANCIEROS;9,02;9.020,00
1;912N;83;Concesión de préstamos fuera del Sector Público;9,02;9.020,00
1;—;—;TOTAL CONSEJO DE ESTADO;14.686,84;14.686.840,00
;;;;;
;;;;;
