Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;11.170,76;11.170.760,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;2.874.100,00
4;TRANSFERENCIAS CORRIENTES;232,96;232.960,00
—;TOTAL OPERACIONES CORRIENTES;14.277,82;14.277.820,00
6;INVERSIONES REALES;400;400.000,00
—;TOTAL OPERACIONES DE CAPITAL;400;400.000,00
—;TOTAL OPERACIONES NO FINANCIERAS;14.677,82;14.677.820,00
8;ACTIVOS FINANCIEROS;9,02;9.020,00
—;TOTAL PRESUPUESTO;14.686,84;14.686.840,00
—;TOTAL CONSOLIDADO;14.686,84;14.686.840,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
