Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;47.878,75;47.878.750,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.026,08;27.026.080,00
4;TRANSFERENCIAS CORRIENTES;579,15;579.150,00
—;TOTAL OPERACIONES CORRIENTES;75.483,98;75.483.980,00
6;INVERSIONES REALES;2.799,82;2.799.820,00
—;TOTAL OPERACIONES DE CAPITAL;2.799,82;2.799.820,00
—;TOTAL OPERACIONES NO FINANCIERAS;78.283,80;78.283.800,00
8;ACTIVOS FINANCIEROS;50;50.000,00
—;TOTAL PRESUPUESTO;78.333,80;78.333.800,00
—;TOTAL CONSOLIDADO;78.333,80;78.333.800,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
