;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 08 CONSEJO GENERAL DEL PODER JUDICIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;08.01;;Total;
1;GASTOS DE PERSONAL;47.878,75;;47.878,75;
10; Altos cargos;3.027,17;;3.027,17;
11; Personal eventual;3.568,76;;3.568,76;
12; Funcionarios;32.695,62;;32.695,62;
13; Laborales;1.458,02;;1.458,02;
15; Incentivos al rendimiento;1.071,30;;1.071,30;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;6.057,88;;6.057,88;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.026,08;;27.026,08;
20; Arrendamientos y cánones;188,70;;188,70;
21; Reparaciones, mantenimiento y conservación;2.464,09;;2.464,09;
22; Material, suministros y otros;14.793,50;;14.793,50;
23; Indemnizaciones por razón del servicio;9.432,79;;9.432,79;
24; Gastos de publicaciones;147,00;;147,00;
4;TRANSFERENCIAS CORRIENTES;579,15;;579,15;
48; A familias e instituciones sin fines de lucro;548,60;;548,60;
49; Al exterior;30,55;;30,55;
6;INVERSIONES REALES;2.799,82;;2.799,82;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.242,62;;2.242,62;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;557,20;;557,20;
8;ACTIVOS FINANCIEROS;50,00;;50,00;
83; Concesión de préstamos fuera del Sector Público;50,00;;50,00;
;TOTAL CONSOLIDADO;78.333,80;;78.333,80;
;TOTAL;78.333,80;;78.333,80;
;;



