;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 08 CONSEJO GENERAL DEL PODER JUDICIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;47.878,75;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.026,08;
4; TRANSFERENCIAS CORRIENTES;579,15;
;TOTAL OPERACIONES CORRIENTES;75.483,98;
6; INVERSIONES REALES;2.799,82;
;TOTAL OPERACIONES DE CAPITAL;2.799,82;
;TOTAL OPERACIONES NO FINANCIERAS;78.283,80;
8; ACTIVOS FINANCIEROS;50,00;
;TOTAL PRESUPUESTO;78.333,80;
;TOTAL CONSOLIDADO;78.333,80;
;;



