;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 10 CONTRATACIÓN CENTRALIZADA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;;;
v;;923R;;Contratación centralizada;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;317.051,70;
;;;221;Suministros;;2.792,21;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;2.792,21;;
;;;222;Comunicaciones;;201.829,94;
;;;22200; Servicios de telecomunicaciones;73.587,92;;
;;;22201; Postales y mensajería;128.242,02;;
;;;227;Trabajos realizados por otras empresas y profesionales;;112.429,55;
;;;22700; Limpieza y aseo;74.498,21;;
;;;22701; Seguridad;37.560,42;;
;;;22706; Estudios y trabajos técnicos;370,92;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;317.051,70;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;20,00;
v;;;352;Intereses de demora;;20,00;
;;;;TOTAL GASTOS FINANCIEROS;;20,00;
 ; ;;;;;;
;;;;TOTAL Contratación centralizada;;317.071,70;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;;317.071,70;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL CONTRATACIÓN CENTRALIZADA;;317.071,70;
;;



