Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.879.924,35;1.879.924.350,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;227.742,60;227.742.600,00
3;GASTOS FINANCIEROS;655,77;655.770,00
4;TRANSFERENCIAS CORRIENTES;158.695,94;158.695.940,00
—;TOTAL OPERACIONES CORRIENTES;2.267.018,66;2.267.018.660,00
6;INVERSIONES REALES;201.331,01;201.331.010,00
7;TRANSFERENCIAS DE CAPITAL;20.234,25;20.234.250,00
—;TOTAL OPERACIONES DE CAPITAL;221.565,26;221.565.260,00
—;TOTAL OPERACIONES NO FINANCIERAS;2.488.583,92;2.488.583.920,00
8;ACTIVOS FINANCIEROS;692,03;692.030,00
—;TOTAL PRESUPUESTO;2.489.275,95;2.489.275.950,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-97.926,95;-97.926.950,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-20.234,25;-20.234.250,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-118.161,20;-118.161.200,00
—;TOTAL CONSOLIDADO;2.371.114,75;2.371.114.750,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
