Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;5.375.480,68;5.375.480.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.026.498,54;1.026.498.540,00
4;TRANSFERENCIAS CORRIENTES;471.735,20;471.735.200,00
—;TOTAL OPERACIONES CORRIENTES;6.873.714,42;6.873.714.420,00
6;INVERSIONES REALES;5.868.928,77;5.868.928.770,00
7;TRANSFERENCIAS DE CAPITAL;81.700,78;81.700.780,00
—;TOTAL OPERACIONES DE CAPITAL;5.950.629,55;5.950.629.550,00
—;TOTAL OPERACIONES NO FINANCIERAS;12.824.343,97;12.824.343.970,00
8;ACTIVOS FINANCIEROS;2.833,58;2.833.580,00
—;TOTAL PRESUPUESTO;12.827.177,55;12.827.177.550,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–312.179,35;–312.179.350,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–81.512,78;–81.512.780,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–393.692,13;–393.692.130,00
;MINISTERIO DE DEFENSA;12.433.485,42;12.433.485.420,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
