;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;5.375.480,68;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.026.498,54;
4; TRANSFERENCIAS CORRIENTES;471.735,20;
;TOTAL OPERACIONES CORRIENTES;6.873.714,42;
6; INVERSIONES REALES;5.868.928,77;
7; TRANSFERENCIAS DE CAPITAL;81.700,78;
;TOTAL OPERACIONES DE CAPITAL;5.950.629,55;
;TOTAL OPERACIONES NO FINANCIERAS;12.824.343,97;
8; ACTIVOS FINANCIEROS;2.833,58;
;TOTAL PRESUPUESTO;12.827.177,55;
4; TRANSFERENCIAS CORRIENTES;-312.179,35;
7; TRANSFERENCIAS DE CAPITAL;-81.512,78;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-393.692,13;
;TOTAL CONSOLIDADO;12.433.485,42;
;;



