;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;337B;;Conservación y restauración de bienes culturales;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;8.027,14;
v;;;443;Al Consorcio "Ciudad de Santiago de Compostela";;4.783,16;
v;;;444;Al Consorcio de la Ciudad de Toledo;;1.621,99;
v;;;445;Al Consorcio de la Ciudad de Cuenca;;1.621,99;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;8.027,14;
 ; ;;;;;;
;;;;TOTAL Conservación y restauración de bienes culturales;;8.027,14;
 ; ;;;;;;
v;;467G;;Investigación y desarrollo de la Sociedad de la Información;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;1.668,00;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.668,00;
;;;22706; Estudios y trabajos técnicos;1.668,00;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.668,00;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.311,89;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.311,89;
;;;64;Gastos de inversiones de carácter inmaterial;;1.671,87;
;;;640;Gastos en inversiones de carácter inmaterial;;1.671,87;
;;;;TOTAL INVERSIONES REALES;;3.983,76;
 ; ;;;;;;
;;;;TOTAL Investigación y desarrollo de la Sociedad de la Información;;5.651,76;
 ; ;;;;;;
v;;923M;;Dirección y Servicios Generales de Hacienda y Función Pública;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;269,60;
;;;100;Retribuciones básicas y otras remuneraciones;;269,60;
;;;10000; Retribuciones básicas;133,52;;
;;;10001; Retribuciones complementarias;136,08;;
