Económica;Explicación;16.01;16.02;16.03;16.04;16.05;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;418.907,32;31.731,17;3.427.414,53;3.197.017,52;981.670,66;8.056.741,20;8.056.741.200
10;Altos cargos;471,21;212,41;74,84;74,81;138,82;972,09;972.090
11;Personal eventual;577,33;250,13;51,07;56,47;;935;935.000
12;Funcionarios;397.145,19;29.464,07;2.989.809,81;2.839.511,12;787.727,86;7.043.658,05;7.043.658.050
13;Laborales;5.890,79;495,12;15.849,90;5.651,33;68.183,10;96.070,24;96.070.240
15;Incentivos al rendimiento;8.442,94;;221.004,46;221.608,46;48.549,01;499.604,87;499.604.870
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;6.379,86;1.309,44;200.624,45;130.115,33;77.071,87;415.500,95;415.500.950
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;376.605,08;178.853,96;461.933,11;370.750,34;314.858,49;1.703.000,98;1.703.000.980
20;Arrendamientos y cánones;1.176,99;40,00;30.253,24;15.249,00;3.405,00;50.124,23;50.124.230
21;Reparaciones, mantenimiento y conservación;5.516,91;11.997,13;41.410,82;93.438,00;33.641,94;186.004,80;186.004.800
22;Material, suministros y otros;368.616,36;165.774,88;326.764,88;201.482,34;261.335,95;1.323.974,41;1.323.974.410
23;Indemnizaciones por razón del servicio;1.066,14;1.041,95;63.504,17;60.581,00;1.548,45;127.741,71;127.741.710
24;Gastos de publicaciones;228,68;;;;;228,68;228.680
25;Conciertos de asistencia sanitaria;;;;;14.927,15;14.927,15;14.927.150
3;GASTOS FINANCIEROS;2,37;0,76;167,20;200,00;15,62;385,95;385.950
35;Intereses de demora y otros gastos financieros;2,37;0,76;167,20;200,00;15,62;385,95;385.950
4;TRANSFERENCIAS CORRIENTES;130.643,18;46.680,63;2.587,16;4.689,05;17.303,96;201.903,98;201.903.980
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.035,00;;;3.420,75;12.862,34;18.318,09;18.318.090
45;A Comunidades Autónomas;;;;485,00;;485,00;485.000
46;A Entidades Locales;240,40;;;;511,00;751,40;751.400
47;A empresas privadas;40,1;;;;;40,1;40.100
48;A familias e instituciones sin fines de lucro;128.036,83;1.285,00;359,75;278,3;3.922,62;133.882,50;133.882.500
49;Al exterior;290,85;45.395,63;2.227,41;505;8;48.426,89;48.426.890
6;INVERSIONES REALES;7.626,74;110.044,04;56.891,11;98.171,04;12.213,67;284.946,60;284.946.600
62;Inversión nueva asociada al funcionamiento operativo de los servicios;184,37;89.943,04;16.083,60;11.944,00;;118.155,01;118.155.010
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;5.330,26;20.001,00;40.807,51;86.227,04;12.213,67;164.579,48;164.579.480
64;Gastos de inversiones de carácter inmaterial;2.112,11;100;;;;2.212,11;2.212.110
7;TRANSFERENCIAS DE CAPITAL;3.197,08;2.425,00;;31,53;100,2;5.753,81;5.753.810
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;31,53;100,2;131,73;131.730
76;A Entidades Locales;3.066,93;;;;;3.066,93;3.066.930
77;A empresas privadas;40;;;;;40,00;40.000
78;A familias e instituciones sin fines de lucro;90,15;;;;;90,15;90.150
79;Al exterior;;2.425,00;;;;2.425,00;2.425.000
8;ACTIVOS FINANCIEROS;121,95;;100,00;47,12;95,19;364,26;364.260
83;Concesión de préstamos fuera del Sector Público;121,95;;100;47,12;95,19;364,26;364.260
9;PASIVOS FINANCIEROS;;;;4,87;;4,87;4.870
91;Amortización de préstamos en euros;;;;4,27;;4,27;4.270
94;Devolución de depósitos y fianzas;;;;0,6;;0,60;600
TOTAL CONSOLIDADO;;937.103,72;369.735,56;3.949.093,11;3.670.911,47;1.326.257,79;10.253.101,65;10.253.101.650
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
