;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;177.838,44;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;68.711,17;
3; GASTOS FINANCIEROS;3.529,81;
4; TRANSFERENCIAS CORRIENTES;3.439.587,84;
;TOTAL OPERACIONES CORRIENTES;3.689.667,26;
6; INVERSIONES REALES;2.617.541,18;
7; TRANSFERENCIAS DE CAPITAL;3.827.304,54;
;TOTAL OPERACIONES DE CAPITAL;6.444.845,72;
;TOTAL OPERACIONES NO FINANCIERAS;10.134.512,98;
8; ACTIVOS FINANCIEROS;1.316.782,94;
;TOTAL PRESUPUESTO;11.451.295,92;
4; TRANSFERENCIAS CORRIENTES;-131.523,52;
7; TRANSFERENCIAS DE CAPITAL;-8.420,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-139.943,52;
;TOTAL CONSOLIDADO;11.311.352,40;
;;



