;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;451N;;Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;533,52;
;;;100;Retribuciones básicas y otras remuneraciones;;533,52;
;;;10000; Retribuciones básicas;192,14;;
;;;10001; Retribuciones complementarias;341,38;;
v;;;11;Personal eventual;;626,40;
;;;110;Retribuciones básicas y otras remuneraciones;;626,40;
;;;11000; Retribuciones básicas;235,18;;
;;;11001; Retribuciones complementarias;391,22;;
v;;;12;Funcionarios;;37.514,75;
;;;120;Retribuciones básicas;;12.644,63;
;;;12000; Sueldos del grupo A1 y grupo A;2.964,08;;
;;;12001; Sueldos del grupo A2 y grupo B;2.334,61;;
;;;12002; Sueldos del grupo C1 y grupo C;1.682,65;;
;;;12003; Sueldos del grupo C2 y grupo D;1.475,35;;
;;;12004; Sueldos personal de agrupaciones profesionales y grupo E;14,70;;
;;;12005; Trienios;2.203,52;;
;;;12006; Pagas extraordinarias;1.969,72;;
;;;121;Retribuciones complementarias;;23.835,72;
;;;12100; Complemento de destino;5.757,68;;
;;;12101; Complemento específico;7.843,07;;
;;;12102; Indemnización por residencia;16,53;;
;;;12103; Otros complementos;1,53;;
;;;12181; Necesidades adicionales;10.216,91;;
;;;124;Retribuciones de funcionarios en prácticas;;1.034,40;
;;;12400; Sueldos del grupo A1 y grupo A;574,54;;
;;;12401; Sueldos del grupo A2 y grupo B;216,55;;
;;;12402; Sueldos del grupo C1 y grupo C;95,64;;
;;;12405; Trienios;10,36;;
;;;12406; Pagas extraordinarias;97,25;;
;;;12407; Retribuciones complementarias;40,06;;
v;;;13;Laborales;;5.698,66;
;;;130;Laboral fijo;;5.645,39;
;;;13000; Retribuciones básicas;5.160,63;;
;;;13001; Otras remuneraciones;484,76;;
;;;131;Laboral eventual;;53,27;
v;;;15;Incentivos al rendimiento;;13.282,39;
v;;;150;Productividad;;12.436,23;
v;;;151;Gratificaciones;;846,16;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.833,14;
;;;160;Cuotas sociales;;3.845,65;
v;;;16000; Seguridad Social;3.845,65;;
;;;162;Gastos sociales del personal;;1.987,49;
v;;;16200; Formación y perfeccionamiento del personal;624,10;;
v;;;16201; Economatos y comedores;40,65;;
;;;16202; Transporte de personal;28,08;;
v;;;16204; Acción social;595,98;;
;;;16205; Seguros;347,14;;
;;;16206; Cuotas de asistencia a cursos, seminarios, reuniones, nacionales e internacionales;102,04;;
;;;16209; Otros;249,50;;
;;;;TOTAL GASTOS DE PERSONAL;;63.488,86;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
