Económica;Explicación;18.01;18.02;18.03;18.04;18.05;18.08;18.50;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;350.927,67;5.026,18;1.555,59;4.298,33;4.399,57;105.748,77;9.743,67;481.699,78;481.699.780
10;Altos cargos;208,56;61,04;141,34;61,04;71,16;61,04;—;604,18;604.180
11;Personal eventual;510,99;—;253,05;—;—;—;—;764,04;764.040
12;Funcionarios;194.656,78;4.163,05;1.117,89;3.998,99;3.249,90;93.281,29;—;300.467,90;300.467.900
13;Laborales;102.336,05;530,9;—;—;351,71;7.761,99;—;110.980,65;110.980.650
15;Incentivos al rendimiento;4.762,38;—;—;—;—;—;—;4.762,38;4.762.380
16;Cuotas, prestaciones y gastos sociales;48.452,91;271,19;43,31;238,3;726,8;4.644,45;—;54.376,96;54.376.960
19;Gastos de personal – MRR;—;—;—;—;—;—;9.743,67;9.743,67;9.743.670
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.735,24;854,08;528,00;9.191,23;36.646,07;18.021,12;8.237,32;82.213,06;82.213.060,00
20;Arrendamientos y cánones;104;—;—;—;—;69,45;—;173,45;173.450
21;Reparaciones, mantenimiento y conservación;1.519,86;—;—;378,88;—;343,39;—;2.242,13;2.242.130
22;Material, suministros y otros;6.210,88;733,10;287,74;7.903,02;33.843,59;11.582,42;—;60.560,75;60.560.750,00
23;Indemnizaciones por razón del servicio;900,50;20,98;240,26;909,33;2.555,13;5.974,91;—;10.601,11;10.601.110,00
24;Gastos de publicaciones;—;100;—;247,35;50,95;—;—;398,3;398.300,00
29;G.C.B.S. – MRR;—;—;—;—;—;—;8.237,32;8.237,32;8.237.320,00
3;GASTOS FINANCIEROS;285,26;—;—;—;—;43,28;—;328,54;328.540,00
35;Intereses de demora y otros gastos financieros;285,26;—;—;—;—;43,28;—;328,54;328.540,00
4;TRANSFERENCIAS CORRIENTES;91,79;138;359;111.176,72;1.185.274,08;2.530.023,96;1.186.409,02;5.013.472,57;5.013.472.570
44;A Sociedades, Entidades Públicas…;—;—;175;3.731,38;2.245,73;—;202,86;6.354,97;6.354.970,00
45;A Comunidades Autónomas;—;—;—;100.159,61;1.006.609,77;2.080,23;939.159,89;2.048.009,50;2.048.009.500,00
46;A Entidades Locales;—;—;—;600,88;—;—;16.596,50;17.197,38;17.197.380,00
47;A empresas privadas;—;—;—;—;—;—;55.431,19;55.431,19;55.431.190
48;A familias e instituciones sin fines de lucro;91,79;138;181;5.797,10;175.747,70;2.527.463,68;175.018,58;2.884.437,85;2.884.437.850,00
49;Al exterior;—;—;3;1.488,63;70;480,05;—;2.041,68;2.041.680
6;INVERSIONES REALES;4.583,05;101;—;2.592,30;6.260,74;108;58.437,35;72.082,44;72.082.440
62;Inversión nueva asociada al funcionamiento;850;65;—;412,92;3.726,29;88,00;—;5.142,21;5.142.210,00
63;Inversión de reposición asociada al funcionamiento;2.823,97;—;—;2.179,38;2.534,45;—;—;7.537,80;7.537.800,00
64;Gastos de inversiones de carácter inmaterial;909,08;36;—;—;—;20,00;—;965,08;965.080,00
69;Inversiones reales – MRR;—;—;—;—;—;—;58.437,35;58.437,35;58.437.350,00
7;TRANSFERENCIAS DE CAPITAL;—;—;—;301.000,00;—;1.435,70;—;302.435,70;302.435.700,00
75;A Comunidades Autónomas;—;—;—;301.000,00;—;1.435,70;—;302.435,70;302.435.700,00
8;ACTIVOS FINANCIEROS;86,06;—;—;210.868,68;221.222,02;—;—;432.176,76;432.176.760,00
82;Préstamos al Sector Público;—;—;—;210.868,68;221.222,02;—;—;432.090,70;432.090.700,00
83;Préstamos fuera del Sector Público;86,06;—;—;—;—;—;—;86,06;86.060,00
—;TOTAL CONSOLIDADO;364.709,07;6.119,26;2.442,59;639.127,26;1.453.802,48;2.653.945,13;1.264.263,06;6.384.408,85;6.384.408.850,00
4;TRANSFERENCIAS CORRIENTES;146.507,44;—;1.023,00;—;—;8.223,58;60.240,67;215.994,69;215.994.690
41;A Organismos Autónomos;142.208,19;—;1.023,00;—;—;8.223,58;58.324,63;209.779,40;209.779.400,00
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;4.299,25;—;—;—;—;—;1.916,04;6.215,29;6.215.290,00
7;TRANSFERENCIAS DE CAPITAL;37.140,33;—;11.119,98;—;—;—;82.149,45;130.409,76;130.409.760,00
71;A Organismos Autónomos;37.034,19;—;11.119,98;—;—;—;81.936,65;130.090,82;130.090.820,00
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;106,14;—;—;—;—;—;212,8;318,94;318.940,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;183.647,77;—;12.142,98;—;—;8.223,58;142.390,12;346.404,45;346.404.450
—;TOTAL PRESUPUESTO;548.356,84;6.119,26;14.585,57;639.127,26;1.453.802,48;2.662.168,71;1.406.653,18;6.730.813,30;6.730.813.300,00
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
