Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;481.699,78;481.699.780
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;82.213,06;82.213.060
3;GASTOS FINANCIEROS;328,54;328.540
4;TRANSFERENCIAS CORRIENTES;5.229.467,26;5.229.467.260
—;TOTAL OPERACIONES CORRIENTES;5.793.708,64;5.793.708.640
6;INVERSIONES REALES;72.082,44;72.082.440
7;TRANSFERENCIAS DE CAPITAL;432.845,46;432.845.460
—;TOTAL OPERACIONES DE CAPITAL;504.927,90;504.927.900
—;TOTAL OPERACIONES NO FINANCIERAS;6.298.636,54;6.298.636.540
8;ACTIVOS FINANCIEROS;432.176,76;432.176.760
—;TOTAL PRESUPUESTO;6.730.813,30;6.730.813.300
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-215.994,69;-215.994.690
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-130.409,76;-130.409.760
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-346.404,45;-346.404.450
—;TOTAL CONSOLIDADO;6.384.408,85;6.384.408.850
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
