;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;481.699,78;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;82.213,06;
3; GASTOS FINANCIEROS;328,54;
4; TRANSFERENCIAS CORRIENTES;5.229.467,26;
;TOTAL OPERACIONES CORRIENTES;5.793.708,64;
6; INVERSIONES REALES;72.082,44;
7; TRANSFERENCIAS DE CAPITAL;432.845,46;
;TOTAL OPERACIONES DE CAPITAL;504.927,90;
;TOTAL OPERACIONES NO FINANCIERAS;6.298.636,54;
8; ACTIVOS FINANCIEROS;432.176,76;
;TOTAL PRESUPUESTO;6.730.813,30;
4; TRANSFERENCIAS CORRIENTES;-215.994,69;
7; TRANSFERENCIAS DE CAPITAL;-130.409,76;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-346.404,45;
;TOTAL CONSOLIDADO;6.384.408,85;
;;



