Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;421M;10;Altos cargos;208,56;208.560
1;421M;11;Personal eventual;519,92;519.920
1;421M;12;Funcionarios;17.391,85;17.391.850
1;421M;13;Laborales;2.487,73;2.487.730
1;421M;15;Incentivos al rendimiento;3.957,50;3.957.500
1;421M;16;Cuotas, prestaciones y gastos sociales;3.534,65;3.534.650
1;421M;—;TOTAL GASTOS DE PERSONAL;28.100,21;28.100.210
1;421M;20;Arrendamientos y cánones;406,77;406.770
1;421M;21;Reparaciones, mantenimiento y conservación;4.107,23;4.107.230
1;421M;22;Material, suministros y otros;7.839,26;7.839.260
1;421M;23;Indemnizaciones por razón del servicio;801,34;801.340
1;421M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;13.154,60;13.154.600
1;421M;35;Intereses de demora y otros gastos financieros;1;1.000
1;421M;—;TOTAL GASTOS FINANCIEROS;1;1.000
1;421M;44;A entidades públicas estatales;178,35;178.350
1;421M;48;A familias e instituciones sin fines de lucro;250,75;250.750
1;421M;—;TOTAL TRANSFERENCIAS CORRIENTES;429,1;429.100
1;421M;62;Inversión nueva;1.167,17;1.167.170
1;421M;63;Inversión de reposición;3.883,19;3.883.190
1;421M;64;Inversiones inmateriales;7.603,92;7.603.920
1;421M;—;TOTAL INVERSIONES REALES;12.654,28;12.654.280
1;421M;83;Préstamos fuera del sector público;173,94;173.940
1;421M;—;TOTAL ACTIVOS FINANCIEROS;173,94;173.940
1;421M;—;TOTAL Dirección y Servicios Generales de Industria y Turismo;54.513,13;54.513.130
1;—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;54.513,13;54.513.130
2;421M;10;Altos cargos;61,04;61.040
2;421M;12;Funcionarios;3.603,72;3.603.720
2;421M;13;Laborales;172,86;172.860,00
2;421M;16;Cuotas, prestaciones y gastos sociales;332,7;332.700
2;421M;—;TOTAL GASTOS DE PERSONAL;4.170,32;4.170.320
2;421M;22;Material, suministros y otros;38,81;38.810,00
2;421M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;38,81;38.810,00
2;421M;—;TOTAL Dirección y Servicios Generales de Industria y Turismo;4.209,13;4.209.130,00
2;921U;21;Reparaciones, mantenimiento y conservación;9;9.000
2;921U;22;Material, suministros y otros;44,78;44.780
2;921U;226;Gastos diversos;1,67;1.670
2;921U;227;Trabajos realizados por otras empresas;13,11;13.110
2;921U;24;Gastos de publicaciones;126,22;126.220
2;921U;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;180;180.000
2;921U;—;TOTAL Publicaciones;180;180.000
3;421M;10;Altos cargos;71,16;71.160
3;421M;11;Personal eventual;289,32;289.320
3;421M;12;Funcionarios;1.044,64;1.044.640,00
3;421M;15;Incentivos al rendimiento;776,98;776.980
3;421M;16;Cuotas, prestaciones y gastos sociales;100,52;100.520
3;421M;—;TOTAL GASTOS DE PERSONAL;2.282,62;2.282.620
3;421M;22;Material, suministros y otros;3,74;3.740
3;421M;23;Indemnizaciones por razón del servicio;80,3;80.300
3;421M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;84,04;84.040
3;421M;44;Transferencias a entidades públicas;4.512,96;4.512.960
3;421M;—;TOTAL TRANSFERENCIAS CORRIENTES;4.512,96;4.512.960,00
