;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;45.859,40;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.164,94;
3; GASTOS FINANCIEROS;111,00;
4; TRANSFERENCIAS CORRIENTES;226.669,50;
;TOTAL OPERACIONES CORRIENTES;288.804,84;
6; INVERSIONES REALES;40.722,11;
7; TRANSFERENCIAS DE CAPITAL;3.953.149,94;
;TOTAL OPERACIONES DE CAPITAL;3.993.872,05;
;TOTAL OPERACIONES NO FINANCIERAS;4.282.676,89;
8; ACTIVOS FINANCIEROS;4.139.816,37;
;TOTAL PRESUPUESTO;8.422.493,26;
4; TRANSFERENCIAS CORRIENTES;-38.344,44;
7; TRANSFERENCIAS DE CAPITAL;-62.729,67;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-101.074,11;
;TOTAL CONSOLIDADO;8.321.419,15;
;;



