;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;22.01;22.02;22.03;;;Total;
1;GASTOS DE PERSONAL;26.555,38;243.910,77;1.212,00;;;271.678,15;
10; Altos cargos;269,60;1.686,73;141,36;;;2.097,69;
11; Personal eventual;530,53;6.127,26;251,52;;;6.909,31;
12; Funcionarios;21.530,93;171.632,67;688,32;;;193.851,92;
13; Laborales;650,43;21.485,62;;;;22.136,05;
15; Incentivos al rendimiento;2.060,74;13.698,61;;;;15.759,35;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.513,15;29.279,88;130,80;;;30.923,83;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.229,90;38.228,24;3.540,00;;;48.998,14;
20; Arrendamientos y cánones;2.894,77;2.555,20;;;;5.449,97;
21; Reparaciones, mantenimiento y conservación;860,85;4.423,70;;;;5.284,55;
22; Material, suministros y otros;3.064,56;30.143,09;3.340,00;;;36.547,65;
23; Indemnizaciones por razón del servicio;356,62;1.106,25;200,00;;;1.662,87;
24; Gastos de publicaciones;53,10;;;;;53,10;
3;GASTOS FINANCIEROS;;2.763,20;;;;2.763,20;
35; Intereses de demora y otros gastos financieros;;2.763,20;;;;2.763,20;
4;TRANSFERENCIAS CORRIENTES;;2.684,13;5.650,00;;;8.334,13;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;100,00;;;100,00;
45; A Comunidades Autónomas;;;3.300,00;;;3.300,00;
46; A Entidades Locales;;;650,00;;;650,00;
48; A familias e instituciones sin fines de lucro;;2.684,13;1.600,00;;;4.284,13;
6;INVERSIONES REALES;7.518,62;16.355,75;1.950,00;;;25.824,37;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;70,13;6.336,69;1.950,00;;;8.356,82;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;7.414,78;9.659,06;;;;17.073,84;
64; Gastos de inversiones de carácter inmaterial;33,71;360,00;;;;393,71;
7;TRANSFERENCIAS DE CAPITAL;;51.816,00;1.600,00;;;53.416,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;20.520,00;;;;20.520,00;
75; A Comunidades Autónomas;;30.000,00;1.600,00;;;31.600,00;
76; A Entidades Locales;;1.266,00;;;;1.266,00;
78; A familias e instituciones sin fines de lucro;;30,00;;;;30,00;
8;ACTIVOS FINANCIEROS;59,77;305,13;;;;364,90;
83; Concesión de préstamos fuera del Sector Público;59,77;305,13;;;;364,90;
;TOTAL CONSOLIDADO;41.363,67;356.063,22;13.952,00;;;411.378,89;
;TOTAL;41.363,67;356.063,22;13.952,00;;;411.378,89;
;;



