Económica;Explicación;27.01;27.02;27.03;27.04;27.05;27.06;27.07;27.10;27.14;27.15;27.50;Total (miles euros);Total (euros)
10;Altos cargos;416,91;61,04;80,3;132,2;61,04;61,04;61,04;80,3;61,04;61,04;–;1.075,95;1.075.950,00
11;Personal eventual;718,75;–;215,15;–;–;–;–;210,14;–;–;–;1.144,04;1.144.040,00
12;Funcionarios;20.752,61;2.020,74;661,55;8.093,04;2.328,74;1.690,65;9.219,64;2.389,82;17.350,71;37.725,51;–;102.233,01;102.233.010,00
13;Laborales;1.935,25;–;–;576,56;16,87;–;660,63;389,03;3.073,75;22.398,78;–;29.050,87;29.050.870,00
15;Incentivos al rendimiento;3.251,50;–;3.521,29;–;–;–;–;1.872,19;–;–;–;8.644,98;8.644.980,00
16;Cuotas, prestaciones y gastos sociales;3.047,40;240,63;104,74;957,42;214,77;236,09;1.103,64;275,99;2.154,60;7.050,31;–;15.385,59;15.385.590,00
20;Arrendamientos y cánones;–;–;–;0,85;–;–;–;–;8.356,50;–;–;8.357,35;8.357.350,00
21;Reparaciones, mantenimiento y conservación;1.970,76;–;7,75;402,84;–;–;1.228,18;75,32;830,69;126;–;4.641,54;4.641.540,00
22;Material, suministros y otros;14.771,15;31,65;45,81;34.562,13;53,03;140,68;1.220,92;373,04;5.535,07;873,13;–;57.606,61;57.606.610,00
23;Indemnizaciones por razón del servicio;520;16,15;45,77;657,25;110,15;116,24;176,97;99,6;3.484,61;447,1;–;5.673,84;5.673.840,00
24;Gastos de publicaciones;–;86,78;–;–;–;–;–;–;–;–;–;86,78;86.780,00
29;Gtos. corrientes MRR;–;–;–;–;–;–;–;–;–;–;1.734,39;1.734,39;1.734.390,00
35;Gtos. financieros;15,00;–;12.632,65;15.060,44;–;–;–;–;–;116,93;–;27.825,02;27.825.020,00
44;A entidades públicas;–;–;–;–;–;–;–;15.886,77;30;–;500;16.416,77;16.416.770,00
45;A CCAA;–;–;–;–;–;–;–;–;500,00;–;50.000,00;50.500,00;50.500.000,00
46;A entidades locales;–;–;–;–;–;–;–;100;–;–;71.515,61;71.615,61;71.615.610,00
47;A empresas privadas;–;–;–;–;–;–;–;25;–;–;1.300,00;1.325,00;1.325.000,00
48;A familias e instituciones sin ánimo de lucro;–;250;200;–;–;–;–;3.393,74;–;474,78;13.000,00;17.318,52;17.318.520,00
49;Al exterior;–;2.000,00;382.986,76;–;21;1.999,93;–;5;2.136,60;455;–;389.604,29;389.604.290,00
62;Inversión nueva;318;–;–;117,44;–;–;–;168,32;300,00;–;–;903,76;903.760,00
63;Reposición;2.063,72;–;0,3;309,92;4,49;–;929;72,5;1.360,59;120;–;4.860,52;4.860.520,00
64;Inmaterial;2.685,92;–;1,8;419;–;–;2.338,47;–;5;–;–;5.450,19;5.450.190,00
69;Inversiones MRR;–;–;–;–;–;–;–;–;–;–;5.856,83;5.856,83;5.856.830,00
74;Capital a entidades públicas;–;372,07;–;–;–;–;66.816,29;–;–;–;53.745,00;120.933,36;120.933.360,00
75;Capital a CCAA;–;–;–;–;–;–;–;–;–;–;50.000,00;50.000,00;50.000.000,00
76;Capital a entidades locales;–;–;–;–;–;–;–;600,00;–;–;71.515,61;72.115,61;72.115.610,00
78;Capital a familias e instituciones sin ánimo de lucro;–;–;–;–;–;–;–;2.127,50;–;–;13.000,00;15.127,50;15.127.500,00
83;Préstamos fuera del sector público;191,32;–;–;–;–;–;–;–;–;–;–;191,32;191.320,00
84;Constitución de depósitos y fianzas;–;–;–;–;–;–;–;–;–;–;145;145,00;145.000,00
87;Aportaciones patrimoniales;–;–;–;–;–;–;–;–;230.001,50;–;970.000,00;1.200.001,50;1.200.001.500,00
89;Suscripción de acciones y aportaciones a organismos internacionales;–;–;1;136.549,84;–;–;–;–;–;–;–;136.550,84;136.550.840,00
95;Puesta en circulación de moneda metálica;–;–;–;1;–;–;–;–;–;–;–;1;1.000,00
;TOTAL;52.658,29;2.456,99;241.663,20;581.026,69;2.789,09;2.265,70;18.938,42;92.034,73;273.174,31;74.470,75;1.168.106,83;2.509.585,00;2.509.585.000,00
