;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;29.01;29.02;29.03;29.04;29.05;29.06;29.07;29.08;29.09;29.10;;Total;
1;GASTOS DE PERSONAL;18.427,01;2.227,42;1.711,10;567,81;3.994,28;1.930,51;1.790,53;386,09;8.405,13;2.332,15;;41.772,03;
10; Altos cargos;208,56;61,04;80,30;61,04;61,04;61,04;141,34;71,16;61,04;61,04;;867,60;
11; Personal eventual;517,75;;253,20;;;;;;;;;770,95;
12; Funcionarios;10.486,87;1.803,82;985,04;391,47;2.992,53;1.529,63;1.033,97;244,90;5.643,09;1.767,90;;26.879,22;
13; Laborales;2.177,35;;51,32;;256,72;;236,39;;818,56;283,21;;3.823,55;
15; Incentivos al rendimiento;3.041,11;;;;;;;;;;;3.041,11;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.995,37;362,56;341,24;115,30;683,99;339,84;378,83;70,03;1.882,44;220,00;;6.389,60;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.128,87;279,95;261,33;2.298,90;2.215,34;418,50;3.454,44;934,68;2.584,19;4.065,60;;25.641,80;
20; Arrendamientos y cánones;1.042,30;;;;;;;;2,00;;;1.044,30;
21; Reparaciones, mantenimiento y conservación;502,86;;;;;;;;352,91;;;855,77;
22; Material, suministros y otros;7.104,56;123,40;186,80;2.268,90;2.137,04;396,37;3.234,44;874,68;2.040,60;4.036,87;;22.403,66;
23; Indemnizaciones por razón del servicio;479,15;100,46;74,53;30,00;78,30;22,13;220,00;60,00;164,58;28,73;;1.257,88;
24; Gastos de publicaciones;;56,09;;;;;;;24,10;;;80,19;
3;GASTOS FINANCIEROS;;;;;;;;;5,00;;;5,00;
35; Intereses de demora y otros gastos financieros;;;;;;;;;5,00;;;5,00;
4;TRANSFERENCIAS CORRIENTES;;11,30;;4.615,00;430.022,37;5.420,00;19.400,00;;5.585,46;2.225,00;;467.279,13;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;105,00;;;;;;;105,00;
45; A Comunidades Autónomas;;;;;320.440,07;;;;1.230,18;1.400,00;;323.070,25;
46; A Entidades Locales;;;;1.950,00;26,00;;6.600,00;;1.200,48;;;9.776,48;
48; A familias e instituciones sin fines de lucro;;;;2.665,00;109.451,30;5.420,00;10.800,00;;3.154,80;825,00;;132.316,10;
49; Al exterior;;11,30;;;;;2.000,00;;;;;2.011,30;
6;INVERSIONES REALES;2.032,00;;;;;;;;980,00;3.741,85;;6.753,85;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;559,96;;;;;;;;650,00;411,00;;1.620,96;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.072,04;;;;;;;;320,00;1.230,85;;2.622,89;
64; Gastos de inversiones de carácter inmaterial;400,00;;;;;;;;10,00;2.100,00;;2.510,00;
7;TRANSFERENCIAS DE CAPITAL;;;1.093,00;;7.000,00;;;;;;;8.093,00;
76; A Entidades Locales;;;1.093,00;;7.000,00;;;;;;;8.093,00;
8;ACTIVOS FINANCIEROS;92,88;;;;;;;;;;;92,88;
83; Concesión de préstamos fuera del Sector Público;92,88;;;;;;;;;;;92,88;
;TOTAL CONSOLIDADO;29.680,76;2.518,67;3.065,43;7.481,71;443.231,99;7.769,01;24.644,97;1.320,77;17.559,78;12.364,60;;549.637,69;
4;TRANSFERENCIAS CORRIENTES;;;3.666.553,33;;;;;11.711,67;;;;3.678.265,00;
41; A Organismos Autónomos;;;4.253,13;;;;;11.711,67;;;;15.964,80;
42; A la Seguridad Social;;;3.662.300,20;;;;;;;;;3.662.300,20;
7;TRANSFERENCIAS DE CAPITAL;;;11.382,50;;;;;2.341,45;;;;13.723,95;
71; A Organismos Autónomos;;;257,50;;;;;2.341,45;;;;2.598,95;
72; A la Seguridad Social;;;11.125,00;;;;;;;;;11.125,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;3.677.935,83;;;;;14.053,12;;;;3.691.988,95;
;TOTAL;29.680,76;2.518,67;3.681.001,26;7.481,71;443.231,99;7.769,01;24.644,97;15.373,89;17.559,78;12.364,60;;4.241.626,64;
;;



