Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;14.532,81;14.532.810
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;17.212,68;17.212.680
4;TRANSFERENCIAS CORRIENTES;434.042,47;434.042.470
—;TOTAL OPERACIONES CORRIENTES;465.787,96;465.787.960
6;INVERSIONES REALES;26.753,74;26.753.740
7;TRANSFERENCIAS DE CAPITAL;10.365,00;10.365.000
—;TOTAL OPERACIONES DE CAPITAL;37.118,74;37.118.740
—;TOTAL OPERACIONES NO FINANCIERAS;502.906,70;502.906.700
8;ACTIVOS FINANCIEROS;25;25.000
—;TOTAL PRESUPUESTO;502.931,70;502.931.700
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–18.542,45;–18.542.450
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–365,00;–365.000
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–18.907,45;–18.907.450
—;TOTAL CONSOLIDADO;484.024,25;484.024.250
