;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;232M;;Dirección y Servicios Generales de Igualdad;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;269,60;
;;;100;Retribuciones básicas y otras remuneraciones;;269,60;
;;;10000; Retribuciones básicas;133,52;;
;;;10001; Retribuciones complementarias;136,08;;
v;;;11;Personal eventual;;518,07;
;;;110;Retribuciones básicas y otras remuneraciones;;518,07;
;;;11000; Retribuciones básicas;198,95;;
;;;11001; Retribuciones complementarias;319,12;;
v;;;12;Funcionarios;;5.016,14;
;;;120;Retribuciones básicas;;1.883,39;
;;;12000; Sueldos del grupo A1 y grupo A;520,25;;
;;;12001; Sueldos del grupo A2 y grupo B;295,62;;
;;;12002; Sueldos del grupo C1 y grupo C;386,02;;
;;;12003; Sueldos del grupo C2 y grupo D;160,64;;
;;;12005; Trienios;179,42;;
;;;12006; Pagas extraordinarias;341,44;;
;;;121;Retribuciones complementarias;;3.012,83;
;;;12100; Complemento de destino;886,39;;
;;;12101; Complemento específico;1.227,44;;
;;;12181; Necesidades adicionales;899,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;119,92;
v;;;13;Laborales;;587,98;
;;;130;Laboral fijo;;587,98;
;;;13000; Retribuciones básicas;570,93;;
;;;13001; Otras remuneraciones;17,05;;
v;;;15;Incentivos al rendimiento;;1.713,83;
v;;;150;Productividad;;1.702,69;
v;;;151;Gratificaciones;;11,14;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.079,53;
;;;160;Cuotas sociales;;934,22;
v;;;16000; Seguridad Social;934,22;;
;;;162;Gastos sociales del personal;;145,31;
v;;;16200; Formación y perfeccionamiento del personal;50,00;;
v;;;16204; Acción social;40,31;;
;;;16209; Otros;55,00;;
;;;;TOTAL GASTOS DE PERSONAL;;9.185,15;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;90,00;
;;;205;Arrendamientos de mobiliario y enseres;;10,00;
;;;206;Arrendamientos de equipos para procesos de información;;80,00;
v;;;21;Reparaciones, mantenimiento y conservación;;357,25;
;;;212;Edificios y otras construcciones;;70,00;
;;;213;Maquinaria, instalaciones y utillaje;;262,25;
;;;215;Mobiliario y enseres;;5,00;
;;;216;Equipos para procesos de la información;;20,00;
v;;;22;Material, suministros y otros;;2.498,12;
;;;220;Material de oficina;;108,50;
;;;22000; Ordinario no inventariable;50,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;28,50;;
;;;22002; Material informático no inventariable;30,00;;
;;;221;Suministros;;262,62;
;;;22100; Energía eléctrica;90,62;;
;;;22101; Agua;4,00;;
;;;22102; Gas;100,00;;
;;;22104; Vestuario;20,00;;
;;;22106; Productos farmacéuticos y material sanitario;3,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;15,00;;
;;;22199; Otros suministros;30,00;;
;;;222;Comunicaciones;;30,00;
;;;22201; Postales y mensajería;30,00;;
;;;223;Transportes;;85,00;
;;;225;Tributos;;225,00;
v;;;22502; Locales;225,00;;
;;;226;Gastos diversos;;267,00;
v;;;22601; Atenciones protocolarias y representativas;75,50;;
;;;22602; Publicidad y propaganda;80,00;;
;;;22603; Jurídicos, contenciosos;1,50;;
;;;22606; Reuniones, conferencias y cursos;80,00;;
;;;22699; Otros;30,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.520,00;
;;;22700; Limpieza y aseo;20,00;;
;;;22706; Estudios y trabajos técnicos;1.405,00;;
;;;22799; Otros;95,00;;
v;;;23;Indemnizaciones por razón del servicio;;375,00;
;;;230;Dietas;;150,00;
;;;231;Locomoción;;150,00;
;;;233;Otras indemnizaciones;;75,00;
v;;;24;Gastos de publicaciones;;150,00;
;;;240;Gastos de edición y distribución;;150,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.470,37;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;117,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;117,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;303,10;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;303,10;
;;;64;Gastos de inversiones de carácter inmaterial;;200,10;
;;;640;Gastos en inversiones de carácter inmaterial;;200,10;
