Económica;Explicación;32.01;32.02;32.03;32.04;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;23.420,59;10.968,65;23.133,92;2.701,84;60.225,00;60.225.000
10;Altos cargos;269,56;202,34;263,38;71,16;806,44;806.440
11;Personal eventual;539,57;250,45;248,26;—;1.038,28;1.038.280
12;Funcionarios;13.383,77;8.798,54;11.314,80;1.819,42;35.316,53;35.316.530
13;Laborales;1.437,60;650,59;8.122,16;514,6;10.724,95;10.724.950
15;Incentivos al rendimiento;3.857,08;—;—;—;3.857,08;3.857.080
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.933,01;1.066,73;3.185,32;296,66;8.481,72;8.481.720
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.509,10;—;690.283,42;—;710.792,52;710.792.520
20;Arrendamientos y cánones;1.254,49;—;75,18;—;1.329,67;1.329.670,00
21;Reparaciones, mantenimiento y conservación;2.329,03;—;1.447,83;—;3.776,86;3.776.860
22;Material, suministros y otros;15.463,08;—;688.335,07;—;703.798,15;703.798.150,00
23;Indemnizaciones por razón del servicio;1.232,50;—;425,34;—;1.657,84;1.657.840,00
24;Gastos de publicaciones;230,00;—;—;—;230;230.000,00
3;GASTOS FINANCIEROS;70,00;—;200;—;270;270.000,00
35;Intereses de demora y otros gastos financieros;70,00;—;200,00;—;270;270.000,00
4;TRANSFERENCIAS CORRIENTES;381,24;4.100,00;94.377,79;50;98.909,03;98.909.030,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones;90,00;—;—;50;140;140.000,00
45;A Comunidades Autónomas;90,00;—;15,00;—;105;105.000,00
48;A familias e instituciones sin fines de lucro;—;4.100,00;40.805,00;—;44.905,00;44.905.000,00
49;Al exterior;201,24;—;53.557,79;—;53.759,03;53.759.030,00
6;INVERSIONES REALES;13.281,00;—;1.000,00;—;14.281,00;14.281.000
62;Inversión nueva operativa;1.060,00;—;250;—;1.310,00;1.310.000
63;Inversión de reposición operativa;11.721,00;—;750;—;12.471,00;12.471.000
64;Gastos de inversiones de carácter inmaterial;500;—;—;—;500;500.000,00
7;TRANSFERENCIAS DE CAPITAL;—;—;300;—;300;300.000
78;A familias e instituciones sin fines de lucro;—;—;300;—;300;300.000
8;ACTIVOS FINANCIEROS;55;1.800,00;—;—;1.855,00;1.855.000,00
83;Concesión de préstamos fuera del Sector Público;50;—;—;—;50;50.000,00
84;Constitución de depósitos y fianzas;5,00;—;—;—;5;5.000,00
87;Aportaciones patrimoniales;—;1.800,00;—;—;1.800,00;1.800.000,00
—;TOTAL CONSOLIDADO;57.716,93;16.868,65;809.295,13;2.751,84;886.632,55;886.632.550,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);—;34.721.929,32;—;—;34.721.929,32;34.721.929.320
42;A la Seguridad Social;—;34.721.929,32;—;—;34.721.929,32;34.721.929.320
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);—;1.240,20;—;—;1.240,20;1.240.200
72;A la Seguridad Social;—;1.240,20;—;—;1.240,20;1.240.200,00
8;ACTIVOS FINANCIEROS (entre subsectores);—;10.003.806,15;—;—;10.003.806,15;10.003.806.150
82;Concesión de préstamos al Sector Público;—;10.003.806,15;—;—;10.003.806,15;10.003.806.150
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;44.726.975,67;—;—;44.726.975,67;44.726.975.670,00
—;TOTAL;57.716,93;44.743.844,32;809.295,13;2.751,84;45.613.608,22;45.613.608.220,00
