;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 34 RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;34.01;;Total;
3;GASTOS FINANCIEROS;12.500,00;;12.500,00;
35; Intereses de demora y otros gastos financieros;12.500,00;;12.500,00;
4;TRANSFERENCIAS CORRIENTES;17.860.350,00;;17.860.350,00;
49; Al exterior;17.860.350,00;;17.860.350,00;
7;TRANSFERENCIAS DE CAPITAL;170.000,00;;170.000,00;
79; Al exterior;170.000,00;;170.000,00;
;TOTAL CONSOLIDADO;18.042.850,00;;18.042.850,00;
;TOTAL;18.042.850,00;;18.042.850,00;
;;



