;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 34 RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
3; GASTOS FINANCIEROS;12.500,00;
4; TRANSFERENCIAS CORRIENTES;17.860.350,00;
;TOTAL OPERACIONES CORRIENTES;17.872.850,00;
7; TRANSFERENCIAS DE CAPITAL;170.000,00;
;TOTAL OPERACIONES DE CAPITAL;170.000,00;
;TOTAL OPERACIONES NO FINANCIERAS;18.042.850,00;
;TOTAL PRESUPUESTO;18.042.850,00;
;TOTAL CONSOLIDADO;18.042.850,00;
;;



