;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 35 FONDO DE CONTINGENCIA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;;;
v;;929N;;Fondo de contingencia de ejecución presupuestaria;;;
v;;;5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;;;
v;;;50;Dotación al Fondo de Contingencia de ejecución presupuestaria;;3.964.420,00;
v;;;500;Fondo de Contingencia de Ejecución Presupuestaria, Artículo 50 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria;;3.964.420,00;
;;;;TOTAL FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;;3.964.420,00;
 ; ;;;;;;
;;;;TOTAL Fondo de contingencia de ejecución presupuestaria;;3.964.420,00;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;;3.964.420,00;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL FONDO DE CONTINGENCIA;;3.964.420,00;
;;



