;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 37 OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
4; TRANSFERENCIAS CORRIENTES;1.810.566,58;
;TOTAL OPERACIONES CORRIENTES;1.810.566,58;
7; TRANSFERENCIAS DE CAPITAL;480.569,69;
;TOTAL OPERACIONES DE CAPITAL;480.569,69;
;TOTAL OPERACIONES NO FINANCIERAS;2.291.136,27;
;TOTAL PRESUPUESTO;2.291.136,27;
;TOTAL CONSOLIDADO;2.291.136,27;
;;



