;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 37 OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;37.01;37.02;Total;
4;TRANSFERENCIAS CORRIENTES;101.726,02;1.708.840,56;1.810.566,58;
45; A Comunidades Autónomas;101.726,02;;101.726,02;
46; A Entidades Locales;;1.708.840,56;1.708.840,56;
7;TRANSFERENCIAS DE CAPITAL;282.017,39;198.552,30;480.569,69;
75; A Comunidades Autónomas;282.017,39;;282.017,39;
76; A Entidades Locales;;198.552,30;198.552,30;
;TOTAL CONSOLIDADO;383.743,41;1.907.392,86;2.291.136,27;
;TOTAL;383.743,41;1.907.392,86;2.291.136,27;
;;



