Económica;Explicación;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 23;Secc. 24;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 33;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;83.814,13;114.784,16;66.226,29;533.497,39;24.048,35;13.155,23;578.363,88;50.772,14;18.502,33;181.833,03;86.899,95;2.930,47;127.105,35;122.693,28;11.653,58;6.353,48;9.421,25;54.702,35;2.086.756,64;2.086.756.640,00
10;Altos cargos;254,33;61,04;122,1;125,04;–;141,34;122,08;122,08;61,04;61,04;183,12;61,04;315,32;244,14;–;61,04;61,04;122,78;2.118,57;2.118.570,00
11;Personal eventual;1.868,77;–;–;–;–;256,59;–;–;–;–;–;–;–;–;–;–;–;–;2.125,36;2.125.360,00
12;Funcionarios;25.349,78;70.503,80;21.233,27;453.734,46;12.971,16;5.713,96;411.775,35;31.458,25;12.921,04;74.834,92;27.043,53;2.076,79;57.605,42;60.807,00;7.506,20;4.096,81;4.594,93;42.040,94;1.326.267,61;1.326.267.610,00
13;Laborales;30.509,78;18.081,63;27.400,73;8.794,46;3.682,94;3.771,89;49.237,91;9.036,91;898,03;67.145,10;42.303,62;–;43.622,69;30.868,83;1.108,73;518,22;2.350,61;2.951,59;342.283,67;342.283.670,00
14;Otro personal;7.207,35;–;–;–;1.688,95;–;49,88;–;–;–;–;–;295,06;–;–;–;–;–;9.241,24;9.241.240,00
15;Incentivos al rendimiento;2.648,83;6.314,95;2.886,75;53.701,58;1.572,62;851,23;44.783,44;2.473,86;1.916,28;5.284,28;2.829,89;249,79;4.289,96;5.449,03;909,19;571,34;267,51;2.338,49;139.339,02;139.339.020,00
16;Cuotas, prestaciones y gastos sociales;15.975,29;19.822,74;14.583,44;17.141,85;4.132,68;2.420,22;72.395,22;7.681,04;2.705,94;34.507,69;14.539,79;542,85;21.271,96;25.324,28;2.129,46;811,01;2.147,16;7.248,55;265.381,17;265.381.170,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;136.606,31;648.947,00;20.987,36;199.716,04;8.702,38;63.937,85;136.336,14;26.344,70;12.793,99;457.440,79;75.412,73;1.107,12;33.222,90;73.030,92;5.722,29;10.250,07;8.519,20;1.223.386,91;3.142.464,70;3.142.464.700,00
3;GASTOS FINANCIEROS;30,57;383,01;121,90;52,89;12,78;160;442,46;155,24;15,00;4.028,53;127,48;–;36,91;1.240,06;5;–;26;137,85;6.975,68;6.975.680,00
4;TRANSFERENCIAS CORRIENTES;48.967,54;313.431,33;396,19;671,90;345,72;202.539,22;27.896.092,46;10.080,85;6.012.064,29;153.899,43;209.293,15;2.126,62;935,53;135.765,75;8.778,91;7.629,00;36.032,97;770.005,75;35.809.056,61;35.809.056.610,00
6;INVERSIONES REALES;43.848,95;209.764,72;3.920,57;126.511,31;14.583,83;31.769,63;19.028,55;97.554,89;36.350,11;519.607,98;114.326,78;267,55;39.422,71;130.887,03;3.226,22;3.154,75;197,22;8.519,81;1.402.942,61;1.402.942.610,00
7;TRANSFERENCIAS DE CAPITAL;500;100;–;2.000,00;–;72.127,66;678,89;–;1.593.307,29;356.529,88;7.631,00;–;2.312,46;261.054,38;200;100;50;–;2.296.491,56;2.296.491.560,00
8;ACTIVOS FINANCIEROS;484,44;578,2;173;608,31;38,32;642,51;1.103,19;215,76;135,49;1.675,11;575,72;25;267,62;400,63;36,51;23,71;29,95;230,3;7.243,77;7.243.770,00
9;PASIVOS FINANCIEROS;60;2;–;–;–;–;–;–;–;35.500,00;–;–;–;–;–;–;–;–;35.562,00;35.562.000,00
4;TRANSFERENCIAS CORRIENTES (Subsectores);–;1.364,16;21.453,66;136.154,92;15;–;237.257,21;916,28;–;4.398,10;–;393,46;–;–;–;432,02;–;–;402.384,81;402.384.810,00
7;TRANSFERENCIAS DE CAPITAL (Subsectores);–;100;–;–;–;–;16.179,72;1.500,00;–;277,31;–;–;–;–;–;–;–;–;18.057,03;18.057.030,00
9;PASIVOS FINANCIEROS (Subsectores);–;250;–;27,6;–;–;–;–;–;450;–;–;–;–;–;–;–;–;727,6;727.600,00
—;TOTAL CONSOLIDADO;314.311,94;1.287.890,42;91.825,31;863.057,84;47.731,38;384.332,10;28.632.045,57;185.123,58;7.673.168,50;1.710.514,75;494.266,81;6.456,76;203.303,48;725.072,05;29.622,51;27.511,01;54.276,59;2.056.982,97;44.787.493,57;44.787.493.570,00
;TOTAL;;;;;;;;;;;;;;;;;;;45.208.663,01;45.208.663.010,00
