;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por artículos y secciones del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 23;Secc. 24;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 33;;;Total;
1;GASTOS DE PERSONAL;83.814,13;114.784,16;66.226,29;533.497,39;24.048,35;13.155,23;578.363,88;50.772,14;18.502,33;181.833,03;86.899,95;2.930,47;127.105,35;122.693,28;11.653,58;6.353,48;9.421,25;54.702,35;;;2.086.756,64;
10; Altos cargos;254,33;61,04;122,10;125,04;;141,34;122,08;122,08;61,04;61,04;183,12;61,04;315,32;244,14;;61,04;61,04;122,78;;;2.118,57;
11; Personal eventual;1.868,77;;;;;256,59;;;;;;;;;;;;;;;2.125,36;
12; Funcionarios;25.349,78;70.503,80;21.233,27;453.734,46;12.971,16;5.713,96;411.775,35;31.458,25;12.921,04;74.834,92;27.043,53;2.076,79;57.605,42;60.807,00;7.506,20;4.096,81;4.594,93;42.040,94;;;1.326.267,61;
13; Laborales;30.509,78;18.081,63;27.400,73;8.794,46;3.682,94;3.771,89;49.237,91;9.036,91;898,03;67.145,10;42.303,62;;43.622,69;30.868,83;1.108,73;518,22;2.350,61;2.951,59;;;342.283,67;
14; Otro personal;7.207,35;;;;1.688,95;;49,88;;;;;;;;;295,06;;;;;9.241,24;
15; Incentivos al rendimiento;2.648,83;6.314,95;2.886,75;53.701,58;1.572,62;851,23;44.783,44;2.473,86;1.916,28;5.284,28;2.829,89;249,79;4.289,96;5.449,03;909,19;571,34;267,51;2.338,49;;;139.339,02;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;15.975,29;19.822,74;14.583,44;17.141,85;4.132,68;2.420,22;72.395,22;7.681,04;2.705,94;34.507,69;14.539,79;542,85;21.271,96;25.324,28;2.129,46;811,01;2.147,16;7.248,55;;;265.381,17;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;136.606,31;648.947,00;20.987,36;199.716,04;8.702,38;63.937,85;136.336,14;26.344,70;12.793,99;457.440,79;75.412,73;1.107,12;33.222,90;73.030,92;5.722,29;10.250,07;8.519,20;1.223.386,91;;;3.142.464,70;
20; Arrendamientos y cánones;79,03;745,04;59,98;1.760,00;48,36;;13.578,58;4.741,24;431,95;6.217,83;4.908,23;;7.733,22;4.190,72;65,35;1.250,00;18,00;309,00;;;46.136,53;
21; Reparaciones, mantenimiento y conservación;7.928,57;19.868,37;2.444,99;53.015,91;1.312,26;1.614,39;12.653,73;6.660,65;3.298,57;61.390,93;5.195,03;142,79;5.286,04;8.222,10;784,27;367,68;566,82;779,61;;;191.532,71;
22; Material, suministros y otros;46.618,28;79.823,59;8.460,82;140.953,69;6.554,68;14.262,96;99.826,08;13.197,32;8.356,52;385.131,52;26.385,24;858,69;17.388,46;50.520,05;4.567,14;8.282,29;7.715,82;30.920,69;;;949.823,84;
23; Indemnizaciones por razón del servicio;2.956,17;1.242,66;6.966,60;3.886,44;597,85;400,87;10.141,20;1.688,49;526,95;4.347,23;3.649,37;102,52;2.693,68;9.842,15;244,53;150,10;121,78;2.492,46;;;52.051,05;
24; Gastos de publicaciones;728,35;17,25;113,97;100,00;189,23;25,00;114,01;57,00;;353,28;395,69;3,12;121,50;136,91;61,00;200,00;96,78;335,00;;;3.048,09;
25; Conciertos de asistencia sanitaria;78.295,91;547.250,09;;;;;22,54;;;;;;;;;;;1.188.100,15;;;1.813.668,69;
27; Compras, suministros y otros gastos;;;;;;;;;180,00;;;;;;;;;;;;180,00;
28; Gastos relacionados con la actividad comercial;;;;;;;;;;;34.879,17;;;;;;;;;;34.879,17;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;;2.941,00;;;47.634,63;;;;;;;;118,99;;;;450,00;;;51.144,62;
3;GASTOS FINANCIEROS;30,57;383,01;121,90;52,89;12,78;160,00;442,46;155,24;15,00;4.028,53;127,48;;36,91;1.240,06;5,00;;26,00;137,85;;;6.975,68;
31; De préstamos en euros;;3,01;;;0,45;;1,24;;;277,40;;;;;;;;;;;282,10;
35; Intereses de demora y otros gastos financieros;30,57;380,00;121,90;52,89;12,33;160,00;441,22;155,24;15,00;3.751,13;127,48;;36,91;1.240,06;5,00;;26,00;137,85;;;6.693,58;
4;TRANSFERENCIAS CORRIENTES;48.967,54;313.431,33;396,19;671,90;345,72;202.539,22;27.896.092,46;10.080,85;6.012.064,29;153.899,43;209.293,15;2.126,62;935,53;135.765,75;8.778,91;7.629,00;36.032,97;770.005,75;;;35.809.056,61;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;;;82.831,22;227,55;;11.700,00;12.856,37;;;82.436,40;;200,00;40,00;;;;190.291,54;
45; A Comunidades Autónomas;;;;;;8.880,00;2.731.522,45;;1.236,00;209,84;55.082,68;;6,00;10.085,70;333,36;1.100,00;1.398,23;53.587,34;;;2.863.441,60;
46; A Entidades Locales;;;;;;48.477,50;293.784,76;;;3.395,78;4.821,36;;;490,68;;;2.368,34;20,00;;;353.358,42;
47; A empresas privadas;;;;;;130,00;2.249,45;7.467,33;5.983.997,49;135.100,00;120.762,30;;;10.018,00;;;2.072,52;;;;6.261.797,09;
48; A familias e instituciones sin fines de lucro;48.918,97;313.080,20;396,19;550,00;270,10;145.051,72;24.785.207,48;1.780,85;26.830,80;3.130,89;11.855,73;2.126,62;553,59;29.759,31;8.445,55;6.325,00;29.700,43;716.247,41;;;26.130.230,84;
49; Al exterior;48,57;351,13;;121,90;75,62;;497,10;605,12;;362,92;3.914,71;;375,94;2.975,66;;4,00;453,45;151,00;;;9.937,12;
6;INVERSIONES REALES;43.848,95;209.764,72;3.920,57;126.511,31;14.583,83;31.769,63;19.028,55;97.554,89;36.350,11;519.607,98;114.326,78;267,55;39.422,71;130.887,03;3.226,22;3.154,75;197,22;8.519,81;;;1.402.942,61;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;;;;16.256,39;;;;16.500,00;;45.578,17;;;;;;;;;;;78.334,56;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;;;45.878,28;;;;12.056,98;;222.154,49;;;;;;;;;;;280.089,75;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;7.011,54;5.097,07;472,53;13.974,29;9.099,36;875,75;6.130,66;4.588,80;320,00;73.013,08;41.833,15;248,23;860,76;18.170,81;999,21;344,75;;132,27;;;183.172,26;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;12.016,83;33.536,64;2.354,04;35.610,37;4.805,00;2.494,24;12.897,89;3.681,00;1.547,00;14.541,47;69.415,46;19,32;16.640,20;12.937,78;2.027,01;600,00;197,22;1.183,32;;;226.504,79;
64; Gastos de inversiones de carácter inmaterial;2.769,60;45.693,35;1.094,00;14.791,98;675,00;757,99;;42.318,11;34.483,11;46.794,62;3.078,17;;21.921,75;6.726,28;200,00;2.210,00;;5.369,76;;;228.883,72;
65; Inversiones militares en infraestructura y otros bienes;;122.072,66;;;;;;;;;;;;;;;;;;;122.072,66;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;;500,00;;;;;;;;;;;;;;;;;;;500,00;
