Programa;Económica;Explicación;Total (miles euros);Total (euros)
462M;10;Altos cargos;61,05;61.050,00
462M;100;Retribuciones básicas y otras remuneraciones;61,05;61.050,00
462M;10000;Retribuciones básicas;18,92;18.920,00
462M;10001;Retribuciones complementarias;42,13;42.130,00
462M;12;Funcionarios;1.359,04;1.359.040,00
462M;120;Retribuciones básicas;689,08;689.080,00
462M;12000;Sueldos grupo A1 y A;126,35;126.350,00
462M;12001;Sueldos grupo A2 y B;109,25;109.250,00
462M;12002;Sueldos grupo C1 y C;106,15;106.150,00
462M;12003;Sueldos grupo C2 y D;96,38;96.380,00
462M;12005;Trienios;118,34;118.340,00
462M;12006;Pagas extraordinarias;127,36;127.360,00
462M;12007;Otras retribuciones básicas;5,25;5.250,00
462M;121;Retribuciones complementarias;669,96;669.960,00
462M;12100;Complemento de destino;292,12;292.120,00
462M;12101;Complemento específico;377,84;377.840,00
462M;13;Laborales;603,06;603.060,00
462M;130;Laboral fijo;346,61;346.610,00
462M;13000;Retribuciones básicas;327,85;327.850,00
462M;13001;Otras remuneraciones;18,76;18.760,00
462M;131;Laboral eventual;256,45;256.450,00
462M;15;Incentivos al rendimiento;181,39;181.390,00
462M;150;Productividad;163,07;163.070,00
462M;151;Gratificaciones;18,32;18.320,00
462M;16;Cuotas y gastos sociales;413,77;413.770,00
462M;160;Cuotas sociales;344,29;344.290,00
462M;16000;Seguridad Social;344,29;344.290,00
462M;162;Gastos sociales del personal;69,48;69.480,00
462M;16200;Formación y perfeccionamiento;3,67;3.670,00
462M;16204;Acción social;65,81;65.810,00
462M;;TOTAL GASTOS DE PERSONAL;2.618,31;2.618.310,00
462M;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.424,20;1.424.200,00
462M;;TOTAL TRANSFERENCIAS CORRIENTES;166,1;166.100,00
462M;;TOTAL INVERSIONES REALES;300;300.000,00
462M;;TOTAL ACTIVOS FINANCIEROS;10,03;10.030,00
;;TOTAL CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;4.518,64;4.518.640,00
