Programa;Económica;Explicación;Total (miles euros);Total (euros)
337A;1;GASTOS DE PERSONAL;59.914,58;59.914.580,00
337A;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;42.083,82;42.083.820,00
337A;3;GASTOS FINANCIEROS;20;20.000,00
337A;4;TRANSFERENCIAS CORRIENTES;223,54;223.540,00
337A;6;INVERSIONES REALES;17.899,78;17.899.780,00
337A;7;TRANSFERENCIAS DE CAPITAL;500;500.000,00
337A;8;ACTIVOS FINANCIEROS;440;440.000,00
337A;9;PASIVOS FINANCIEROS;50;50.000,00
—;—;TOTAL Programa 337A;121.131,72;121.131.720,00
337D;1;GASTOS DE PERSONAL;997,2;997.200,00
337D;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.330,29;2.330.290,00
337D;3;GASTOS FINANCIEROS;5;5.000,00
337D;4;TRANSFERENCIAS CORRIENTES;990;990.000,00
337D;6;INVERSIONES REALES;1.171,52;1.171.520,00
337D;8;ACTIVOS FINANCIEROS;7,5;7.500,00
337D;9;PASIVOS FINANCIEROS;10;10.000,00
—;—;TOTAL Programa 337D;5.511,51;5.511.510,00
42KD;6;INVERSIONES REALES – Mecanismo de Recuperación y Resiliencia;22.050,98;22.050.980,00
—;—;TOTAL Programa 42KD;22.050,98;22.050.980,00
13.105;;Consejo de Administración del Patrimonio Nacional;148.694,21;148.694.210,00
