Programa;Económica;Explicación;Total (miles euros);Total (euros)
464A;1;GASTOS DE PERSONAL;78.288,35;78.288.350,00
464A;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;56.399,13;56.399.130,00
464A;3;GASTOS FINANCIEROS;310;310.000,00
464A;4;TRANSFERENCIAS CORRIENTES;1.668,78;1.668.780,00
464A;6;INVERSIONES REALES;58.852,14;58.852.140,00
464A;8;ACTIVOS FINANCIEROS;250;250.000,00
—;—;TOTAL Programa 464A;195.768,40;195.768.400,00
000X;4;TRANSFERENCIAS CORRIENTES;1;1.000,00
000X;9;PASIVOS FINANCIEROS;250;250.000,00
—;—;TOTAL Programa 000X;251;251.000,00
14.101;;Instituto Nacional de Técnica Aeroespacial Esteban Terradas;196.019,40;196.019.400,00
