;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;114.784,16;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;648.947,00;
3; GASTOS FINANCIEROS;383,01;
4; TRANSFERENCIAS CORRIENTES;314.795,49;
;TOTAL OPERACIONES CORRIENTES;1.078.909,66;
6; INVERSIONES REALES;209.764,72;
7; TRANSFERENCIAS DE CAPITAL;100,00;
;TOTAL OPERACIONES DE CAPITAL;209.864,72;
;TOTAL OPERACIONES NO FINANCIERAS;1.288.774,38;
8; ACTIVOS FINANCIEROS;578,20;
;TOTAL Capítulos 1-8;1.289.352,58;
9; PASIVOS FINANCIEROS;252,00;
;TOTAL Capítulo 9;252,00;
;TOTAL PRESUPUESTO;1.289.604,58;
4; TRANSFERENCIAS CORRIENTES;-1.364,16;
7; TRANSFERENCIAS DE CAPITAL;-100,00;
;TOTAL Capítulos 1-8;-1.464,16;
9; PASIVOS FINANCIEROS;-250,00;
;TOTAL Capítulo 9;-250,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-1.714,16;
;TOTAL CONSOLIDADO;1.287.890,42;
;;



