;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Organismo: 107 PARQUE MÓVIL DEL ESTADO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;PARQUE MÓVIL DEL ESTADO;;;
v;921T;;Servicios de transportes de Ministerios;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;61,05;
;;100;Retribuciones básicas y otras remuneraciones;;61,05;
;;10000;  Retribuciones básicas;16,34;;
;;10001;  Retribuciones complementarias;44,71;;
;;12;Funcionarios;;3.753,92;
;;120;Retribuciones básicas;;1.989,84;
;;12000;  Sueldos del grupo A1 y grupo A;118,92;;
;;12001;  Sueldos del grupo A2 y grupo B;269,91;;
;;12002;  Sueldos del grupo C1 y grupo C;337,76;;
;;12003;  Sueldos del grupo C2 y grupo D;484,96;;
;;12005;  Trienios;393,57;;
;;12006;  Pagas extraordinarias;384,72;;
;;121;Retribuciones complementarias;;1.764,08;
;;12100;  Complemento de destino;792,30;;
;;12101;  Complemento específico;971,78;;
;;13;Laborales;;26.751,66;
;;130;Laboral fijo;;23.641,04;
;;13000;  Retribuciones básicas;16.113,51;;
;;13001;  Otras remuneraciones;7.527,53;;
;;131;Laboral eventual;;3.110,62;
v;;15;Incentivos al rendimiento;;1.679,35;
v;;150;Productividad;;1.649,19;
v;;151;Gratificaciones;;30,16;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;9.878,59;
;;160;Cuotas sociales;;9.602,08;
v;;16000;  Seguridad Social;9.602,08;;
;;162;Gastos sociales del personal;;276,51;
v;;16200;  Formación y perfeccionamiento del personal;30,49;;
v;;16204;  Acción social;100,00;;
;;16205;  Seguros;15,24;;
;;16209;  Otros;130,78;;
;;;TOTAL GASTOS DE PERSONAL;;42.124,57;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;21;Reparaciones, mantenimiento y conservación;;1.399,00;
;;212;Edificios y otras construcciones;;220,00;
;;213;Maquinaria, instalaciones y utillaje;;49,00;
;;214;Elementos de transporte;;590,00;
;;215;Mobiliario y enseres;;40,00;
;;216;Equipos para procesos de la información;;500,00;
;;22;Material, suministros y otros;;3.187,23;
;;220;Material de oficina;;157,66;
;;22000;  Ordinario no inventariable;9,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;50,00;;
;;22002;  Material informático no inventariable;98,66;;
;;221;Suministros;;1.793,33;
;;22100;  Energía eléctrica;400,00;;
;;22101;  Agua;21,00;;
;;22102;  Gas;105,00;;
;;22103;  Combustible;1.000,00;;
;;22104;  Vestuario;105,00;;
;;22106;  Productos farmacéuticos y material sanitario;6,33;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;50,00;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;6,00;;
;;22199;  Otros suministros;100,00;;
;;222;Comunicaciones;;1,70;
;;22201;  Postales y mensajería;1,70;;
;;223;Transportes;;7,00;
;;224;Primas de seguros;;165,00;
;;225;Tributos;;700,00;
v;;22502;  Locales;700,00;;
;;226;Gastos diversos;;91,54;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;15,00;;
;;22603;  Jurídicos, contenciosos;1,70;;
;;22606;  Reuniones, conferencias y cursos;27,50;;
;;22607;  Oposiciones y pruebas selectivas;45,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;271,00;
;;22700;  Limpieza y aseo;25,00;;
;;22702;  Valoraciones y peritajes;1,00;;
;;22706;  Estudios y trabajos técnicos;140,00;;
;;22799;  Otros;105,00;;
;;23;Indemnizaciones por razón del servicio;;197,00;
;;230;Dietas;;80,00;
;;231;Locomoción;;10,00;
;;233;Otras indemnizaciones;;107,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;4.783,23;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;25,00;
v;;352;Intereses de demora;;20,00;
v;;359;Otros gastos financieros;;5,00;
;;;TOTAL GASTOS FINANCIEROS;;25,00;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;235,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;235,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.265,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.265,00;
;;;TOTAL INVERSIONES REALES;;1.500,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;101,52;
v;;831;Préstamos a largo plazo;;101,52;
;;83108;  Familias e instituciones sin fines de lucro;101,52;;
;;;TOTAL ACTIVOS FINANCIEROS;;101,52;
 ; ;;;;;
;;;TOTAL Servicios de transportes de Ministerios;;48.534,32;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL PARQUE MÓVIL DEL ESTADO;;48.534,32;
;;



