;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y artículos del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.101;16.102;16.103;;;Total;
1;GASTOS DE PERSONAL;530.803,08;1.772,21;922,10;;;533.497,39;
10; Altos cargos;64,01;;61,03;;;125,04;
12; Funcionarios;451.618,16;1.401,69;714,61;;;453.734,46;
13; Laborales;8.750,48;43,98;;;;8.794,46;
15; Incentivos al rendimiento;53.459,94;241,64;;;;53.701,58;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;16.910,49;84,90;146,46;;;17.141,85;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;196.404,61;483,53;2.827,90;;;199.716,04;
20; Arrendamientos y cánones;1.750,00;10,00;;;;1.760,00;
21; Reparaciones, mantenimiento y conservación;52.930,80;61,11;24,00;;;53.015,91;
22; Material, suministros y otros;137.847,81;385,98;2.719,90;;;140.953,69;
23; Indemnizaciones por razón del servicio;3.776,00;26,44;84,00;;;3.886,44;
24; Gastos de publicaciones;100,00;;;;;100,00;
3;GASTOS FINANCIEROS;52,89;;;;;52,89;
35; Intereses de demora y otros gastos financieros;52,89;;;;;52,89;
4;TRANSFERENCIAS CORRIENTES;671,90;;;;;671,90;
48; A familias e instituciones sin fines de lucro;550,00;;;;;550,00;
49; Al exterior;121,90;;;;;121,90;
6;INVERSIONES REALES;115.161,31;11.100,00;250,00;;;126.511,31;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;15.987,39;269,00;;;;16.256,39;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;45.878,28;;;;;45.878,28;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;13.174,29;550,00;250,00;;;13.974,29;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;25.329,37;10.281,00;;;;35.610,37;
64; Gastos de inversiones de carácter inmaterial;14.791,98;;;;;14.791,98;
7;TRANSFERENCIAS DE CAPITAL;;2.000,00;;;;2.000,00;
76; A Entidades Locales;;2.000,00;;;;2.000,00;
8;ACTIVOS FINANCIEROS;598,31;10,00;;;;608,31;
83; Concesión de préstamos fuera del Sector Público;598,31;10,00;;;;608,31;
;TOTAL CONSOLIDADO;843.692,10;15.365,74;4.000,00;;;863.057,84;
4;TRANSFERENCIAS CORRIENTES;136.154,92;;;;;136.154,92;
40; A la Administración del Estado;136.154,92;;;;;136.154,92;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;136.154,92;;;;;136.154,92;
;TOTAL;979.847,02;15.365,74;4.000,00;;;999.212,76;
;;



