;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;533.497,39;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;199.716,04;
3; GASTOS FINANCIEROS;52,89;
4; TRANSFERENCIAS CORRIENTES;136.826,82;
;TOTAL OPERACIONES CORRIENTES;870.093,14;
6; INVERSIONES REALES;126.511,31;
7; TRANSFERENCIAS DE CAPITAL;2.000,00;
;TOTAL OPERACIONES DE CAPITAL;128.511,31;
;TOTAL OPERACIONES NO FINANCIERAS;998.604,45;
8; ACTIVOS FINANCIEROS;608,31;
;TOTAL PRESUPUESTO;999.212,76;
4; TRANSFERENCIAS CORRIENTES;-136.154,92;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-136.154,92;
;TOTAL CONSOLIDADO;863.057,84;
;;



