Programa;Económica;Explicación;Total (miles euros);Total (euros)
451M;1;GASTOS DE PERSONAL;21.118,43;21.118.430,00
451M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.179,08;6.179.080,00
451M;4;TRANSFERENCIAS CORRIENTES;319,72;319.720,00
451M;6;INVERSIONES REALES;5.740,00;5.740.000,00
451M;8;ACTIVOS FINANCIEROS;38,32;38.320,00
—;—;TOTAL Programa 451M;33.395,55;33.395.550,00
46QC;6;INVERSIONES REALES – Mecanismo de Recuperación y Resiliencia;4,47;4.470,00
—;—;TOTAL Programa 46QC;4,47;4.470,00
467B;6;INVERSIONES REALES;1.000,00;1.000.000,00
—;—;TOTAL Programa 467B;1.000,00;1.000.000,00
17.101;;Centro de Estudios y Experimentación de Obras Públicas;34.400,02;34.400.020,00
