Programa;Económica;Explicación;Total (miles euros);Total (euros)
495A;1;GASTOS DE PERSONAL;2.929,92;2.929.920,00
495A;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.523,30;2.523.300,00
495A;3;GASTOS FINANCIEROS;12,78;12.780,00
495A;4;TRANSFERENCIAS CORRIENTES;26;26.000,00
495A;6;INVERSIONES REALES;7.839,36;7.839.360,00
—;—;TOTAL Programa 495A;13.331,36;13.331.360,00
000X;4;TRANSFERENCIAS CORRIENTES;15;15.000,00
000X;9;PASIVOS FINANCIEROS;27,6;27.600,00
—;—;TOTAL Programa 000X;42,6;42.600,00
17.102;;Centro Nacional de Información Geográfica;13.373,96;13.373.960,00
