;PRESUPUESTOS GENERALES DEL ESTADO;
;RESTO DE ENTIDADES;
;Resumen general por entidades y capítulos del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total;
12;MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;120.934,87;108.118,89;719,70;558.442,90;14.103,12;45.157,02;136,00;;847.612,50;
12.301; INSTITUTO CERVANTES;69.629,31;65.464,67;675,00;523,00;6.847,97;;50,00;;143.189,95;
12.302; AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO;51.305,56;42.654,22;44,70;557.919,90;7.255,15;45.157,02;86,00;;704.422,55;
13;MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;32.296,79;14.564,67;328,95;1.709,30;2.814,27;;151,20;;51.865,18;
13.301; AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;11.600,40;5.468,24;320,95;351,59;998,35;;11,20;;18.750,73;
13.303; AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;20.696,39;9.096,43;8,00;1.357,71;1.815,92;;140,00;;33.114,45;
14;MINISTERIO DE DEFENSA;216.651,66;56.929,09;;;63.124,85;50,00;300,00;;337.055,60;
14.301; CENTRO NACIONAL DE INTELIGENCIA;216.651,66;56.929,09;;;63.124,85;50,00;300,00;;337.055,60;
15;MINISTERIO DE HACIENDA;1.036.232,39;265.002,84;80,00;1.200,80;103.191,79;;744,97;;1.406.452,79;
15.301; AUTORIDAD INDEPENDIENTE DE RESPONSABILIDAD FISCAL;6.731,21;3.445,69;30,00;160,00;200,00;;12,00;;10.578,90;
15.302; AGENCIA ESTATAL DE ADMINISTRACIÓN TRIBUTARIA;1.029.501,18;261.557,15;50,00;1.040,80;102.991,79;;732,97;;1.395.873,89;
17;MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;30.204,23;56.368,09;10,00;1.325,47;12.266,94;;5,77;;100.180,50;
17.301; AGENCIA ESTATAL DE SEGURIDAD AÉREA;23.308,18;53.774,94;10,00;1.220,60;5.397,49;;5,77;;83.716,98;
17.302; AGENCIA ESTATAL DE SEGURIDAD FERROVIARIA;6.896,05;2.593,15;;104,87;6.869,45;;;;16.463,52;
18;MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;1.888,94;3.790,66;;632,87;318,93;;12,49;;6.643,89;
18.303; AGENCIA ESTATAL COMISIÓN ESPAÑOLA PARA LA LUCHA ANTIDOPAJE EN EL DEPORTE;1.888,94;3.790,66;;632,87;318,93;;12,49;;6.643,89;
19;MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;4.414,06;2.017,82;;1.512,45;1.249,97;;26,55;;9.220,85;
19.301; CONSEJO ECONÓMICO Y SOCIAL;4.414,06;2.017,82;;1.512,45;1.249,97;;26,55;;9.220,85;
23;MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;71.452,13;40.927,57;471,00;11.999,00;21.196,00;36.444,44;168,00;;182.658,14;
23.301; AGENCIA ESTATAL DE METEOROLOGÍA;43.247,06;28.635,07;50,00;9.786,57;16.925,00;35.014,44;100,00;;133.758,14;
23.302; CONSEJO DE SEGURIDAD NUCLEAR;28.205,07;12.292,50;421,00;2.212,43;4.271,00;1.430,00;68,00;;48.900,00;
24;MINISTERIO DE CULTURA;42.526,03;38.634,50;12,00;518,00;34.716,10;;152,80;;116.559,43;
24.301; MUSEO NACIONAL DEL PRADO;23.234,26;20.548,27;;195,00;28.100,00;;100,00;;72.177,53;
24.302; MUSEO NACIONAL CENTRO DE ARTE REINA SOFÍA;19.291,77;18.086,23;12,00;323,00;6.616,10;;52,80;;44.381,90;
26;MINISTERIO DE SANIDAD;29.660,17;23.374,06;;23.530,26;3.881,39;;80,00;;80.525,88;
26.301; AGENCIA ESPAÑOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS;29.660,17;23.374,06;;23.530,26;3.881,39;;80,00;;80.525,88;
27;MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;35.947,14;21.216,49;298,50;110.690,38;4.079,74;3.514.141,75;60,40;;3.686.434,40;
27.302; COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;35.947,14;21.216,49;298,50;110.690,38;4.079,74;3.514.141,75;60,40;;3.686.434,40;
28;MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;518.541,64;252.120,74;1.746,18;12.871,54;456.736,15;1.389.558,68;348,27;1.177,64;2.633.100,84;
28.301; CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;506.196,27;233.118,39;1.446,18;12.786,54;454.166,15;3.885,79;328,27;1.177,64;1.213.105,23;
28.303; AGENCIA ESTATAL DE INVESTIGACIÓN;12.345,37;19.002,35;300,00;85,00;2.570,00;1.385.672,89;20,00;;1.419.995,61;
33;MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;2.463,70;824,68;1,00;10,00;77,00;;3,00;;3.379,38;
33.302; CONSEJO DE TRANSPARENCIA Y BUEN GOBIERNO;2.463,70;824,68;1,00;10,00;77,00;;3,00;;3.379,38;
;TOTAL;2.143.213,75;883.890,10;3.667,33;724.442,97;717.756,25;4.985.351,89;2.189,45;1.177,64;9.461.689,38;
;;



