Capítulo;Concepto;Importe (miles Euros);Importe (euros)
1;GASTOS DE PERSONAL;11.170,76;11.170.760,00
10;L Altos cargos;1.028,00;1.028.000,00
11;L Personal eventual;472,99;472.990,00
12;L Funcionarios;6.920,20;6.920.200,00
13;L Laborales;637,15;637.150,00
15;L Incentivos al rendimiento;1.387,73;1.387.730,00
150;L Productividad;1.304,77;1.304.770,00
151;L Gratificaciones;82,96;82.960,00
16;L Cuotas, prestaciones y gastos sociales;724,69;724.690,00
16000;L Seguridad Social;623,67;623.670,00
16200;L Formación y perfeccionamiento del personal;38,69;38.690,00
16204;L Acción social;62,33;62.330,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.874,10;2.874.100,00
20;L Arrendamientos y cánones;25;25.000,00
21;L Reparaciones, mantenimiento y conservación;474,8;474.800,00
22;L Material, suministros y otros;1.983,30;1.983.300,00
22502;L Locales;65;65.000,00
22601;L Atenciones protocolarias y representativas;95;95.000,00
23;L Indemnizaciones por razón del servicio;330;330.000,00
24;L Gastos de publicaciones;61;61.000,00
4;TRANSFERENCIAS CORRIENTES;232,96;232.960,00
48;L A familias e instituciones sin fines de lucro;232,96;232.960,00
482;L Indemnizaciones;232,96;232.960,00
6;INVERSIONES REALES;400;400.000,00
8;ACTIVOS FINANCIEROS;9,02;9.020,00
83;L Concesión de préstamos fuera del Sector Público;9,02;9.020,00
830;L Préstamos a corto plazo;9,02;9.020,00
—;TOTAL CONSEJO DE ESTADO;14.686,84;14.686.840,00
—;TOTAL Alto asesoramiento del Estado;14.686,84;
