;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 07 CLASES PASIVAS;
;Programa: 212B Pensiones de guerra;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
07.01;;PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;81.093,93;
;481;Pensiones e indemnizaciones de guerra;;81.093,93;
;;TOTAL TRANSFERENCIAS CORRIENTES;;81.093,93;
 ; ;;;;
;;TOTAL PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;81.093,93;
 ; ;;;;
 ; ;;;;
;;TOTAL Pensiones de guerra;;81.093,93;
;;



