Económica;Explicación;08.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;13.991,27;13.991,27;13.991.270,00
12;Funcionarios;10.847,17;10.847,17;10.847.170,00
13;Laborales;121,44;121,44;121.440,00
15;Incentivos al rendimiento;5,15;5,15;5.150,00
151;Gratificaciones;5,15;5,15;5.150,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.017,51;3.017,51;3.017.510,00
16000;Seguridad Social;2.164,80;2.164,80;2.164.800,00
16201;Economatos y comedores;574,73;574,73;574.730,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.734,97;9.734,97;9.734.970,00
20;Arrendamientos y cánones;24,2;24,2;24.200,00
21;Reparaciones, mantenimiento y conservación;318,8;318,8;318.800,00
22;Material, suministros y otros;2.414,32;2.414,32;2.414.320,00
22502;Locales;20;20;20.000,00
22601;Atenciones protocolarias y representativas;10;10;10.000,00
23;Indemnizaciones por razón del servicio;6.977,65;6.977,65;6.977.650,00
4;TRANSFERENCIAS CORRIENTES;140,5;140,5;140.500,00
48;A familias e instituciones sin fines de lucro;122,5;122,5;122.500,00
483;A Asociaciones Judiciales;32,5;32,5;32.500,00
484;Ayudas a la formación;90;90;90.000,00
49;Al exterior;18;18;18.000,00
490;Cuotas a Organismos Internacionales;18;18;18.000,00
6;INVERSIONES REALES;269;269;269.000,00
—;TOTAL CONSEJO GENERAL DEL PODER JUDICIAL;24.135,74;24.135,74;24.135.740,00
—;TOTAL Selección y formación de jueces;24.135,74;24.135,74;24.135.740,00
