Capítulo;Explicación;08.01;Importe (miles Euros);Importe (euros)
1;GASTOS DE PERSONAL;13.991,27;13.991,27;13.991.270,00
12;Funcionarios;10.847,17;10.847,17;10.847.170,00
13;Laborales;121,44;121,44;121.440,00
15;Incentivos al rendimiento;5,15;5,15;5.150,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.017,51;3.017,51;3.017.510,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.734,97;9.734,97;9.734.970,00
20;Arrendamientos y cánones;24,2;24,2;24.200,00
21;Reparaciones, mantenimiento y conservación;318,8;318,8;318.800,00
22;Material, suministros y otros;2.414,32;2.414,32;2.414.320,00
23;Indemnizaciones por razón del servicio;6.977,65;6.977,65;6.977.650,00
4;TRANSFERENCIAS CORRIENTES;140,5;140,5;140.500,00
48;A familias e instituciones sin fines de lucro;122,5;122,5;122.500,00
49;Al exterior;18;18;18.000,00
6;INVERSIONES REALES;269;269;269.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;151;151;151.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;118;118;118.000,00
—;TOTAL PROGRAMA 111O;24.135,74;24.135,74;24.135.740,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
