Económica;Explicación;12.03 ;12.302;Total (miles euros);Total (euros)
1;Gastos de Personal;2.396,56;51.305,56;53.702,12;53.702.120,00
10;Altos cargos;141,34;109,45;250,79;250.790,00
11;Personal eventual;256,06;—;256,06;256.060,00
12;Funcionarios;1.610,44;15.390,82;17.001,26;17.001.260,00
13;Laborales;159,08;25.008,41;25.167,49;25.167.490,00
15;Incentivos al rendimiento;—;1.217,48;1.217,48;1.217.480,00
16;Cuotas, prestaciones y gastos sociales;229,64;9.579,40;9.809,04;9.809.040,00
2;Gastos Corrientes en Bienes y Servicios;2.271,08;39.781,22;42.052,30;42.052.300,00
20;Arrendamientos y cánones;—;4.009,91;4.009,91;4.009.910,00
21;Reparaciones, mantenimiento y conservación;—;1.471,21;1.471,21;1.471.210,00
22;Material, suministros y otros;1.831,29;30.779,95;32.611,24;32.611.240,00
23;Indemnizaciones por razón del servicio;439,79;3.320,15;3.759,94;3.759.940,00
24;Gastos de publicaciones;—;200;200;200.000,00
3;Gastos Financieros;—;44,7;44,7;44.700,00
35;Intereses de demora y otros gastos financieros;—;44,7;44,7;44.700,00
4;Transferencias Corrientes;49.964,00;555.559,90;605.523,90;605.523.900,00
44;A entidades del Sector Público Estatal;5.000,00;7.933,00;12.933,00;12.933.000,00
46;A Entidades Locales;—;55;55;55.000,00
48;A familias e instituciones sin fines de lucro;1.229,00;133.903,19;135.132,19;135.132.190,00
49;Al exterior;43.735,00;413.668,71;457.403,71;457.403.710,00
6;Inversiones Reales;—;7.255,15;7.255,15;7.255.150,00
62;Inversión nueva operativa;—;2.996,86;2.996,86;2.996.860,00
63;Reposición operativa;—;4.258,29;4.258,29;4.258.290,00
7;Transferencias de Capital;10.000,00;45.157,02;55.157,02;55.157.020,00
74;A entidades del Sector Público Estatal;10.000,00;—;10.000,00;10.000.000,00
79;Al exterior;—;45.157,02;45.157,02;45.157.020,00
8;Activos Financieros;234.230,00;86;234.316,00;234.316.000,00
83;Préstamos fuera del sector público;—;71;71;71.000,00
84;Depósitos y fianzas;—;15;15;15.000,00
87;Aportaciones patrimoniales;234.230,00;—;234.230,00;234.230.000,00
—;TOTAL PROGRAMA 143A;298.861,64;699.189,55;998.051,19;998.051.190,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
