Económica;Explicación;Total (miles euros);Total (euros)
1;Gastos de Personal;69.629,31;69.629.310,00
16200;Formación y perfeccionamiento del personal;225,41;225.410,00
16201;Economatos y comedores;305,19;305.190,00
16204;Acción social;220,5;220.500,00
2;Gastos Corrientes en Bienes y Servicios;12.895,00;12.895.000,00
202;Arrendamientos de edificios y otras construcciones;12.775,00;12.775.000,00
22502;Locales;100;100.000,00
22601;Atenciones protocolarias y representativas;20;20.000,00
4;Transferencias Corrientes;250;250.000,00
48202;Comisión de intercambio cultural, educativo y científico España–EEUU;250;250.000,00
—;TOTAL PROGRAMA 144A;148.422,95;148.422.950,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
