;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;Programa: 142A Acción del Estado en el exterior;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;12.01;12.04;12.05;;;Total;
1;GASTOS DE PERSONAL;283.160,17;6.171,87;2.670,91;;;292.002,95;
10; Altos cargos;122,07;385,43;202,36;;;709,86;
11; Personal eventual;;256,06;256,06;;;512,12;
12; Funcionarios;164.032,87;5.092,68;1.916,83;;;171.042,38;
13; Laborales;89.123,71;;;;;89.123,71;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;29.881,52;437,70;295,66;;;30.614,88;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;97.887,26;1.215,16;464,04;;;99.566,46;
20; Arrendamientos y cánones;27.993,73;;;;;27.993,73;
21; Reparaciones, mantenimiento y conservación;9.211,68;;;;;9.211,68;
22; Material, suministros y otros;52.720,32;1.215,16;464,04;;;54.399,52;
23; Indemnizaciones por razón del servicio;7.961,53;;;;;7.961,53;
3;GASTOS FINANCIEROS;19,04;;;;;19,04;
35; Intereses de demora y otros gastos financieros;19,04;;;;;19,04;
4;TRANSFERENCIAS CORRIENTES;2.615,61;407.573,44;1.927,47;;;412.116,52;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;5.003,84;1.321,97;;;6.325,81;
48; A familias e instituciones sin fines de lucro;183,00;1.800,00;196,50;;;2.179,50;
49; Al exterior;2.432,61;400.769,60;409,00;;;403.611,21;
6;INVERSIONES REALES;51.292,79;;;;;51.292,79;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;42.192,61;;;;;42.192,61;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;8.054,35;;;;;8.054,35;
64; Gastos de inversiones de carácter inmaterial;1.045,83;;;;;1.045,83;
8;ACTIVOS FINANCIEROS;759,60;;;;;759,60;
83; Concesión de préstamos fuera del Sector Público;600,00;;;;;600,00;
84; Constitución de depósitos y fianzas;159,60;;;;;159,60;
;TOTAL;435.734,47;414.960,47;5.062,42;;;855.757,36;
;;



