Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
13.105;;CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;;
;1;GASTOS DE PERSONAL;;
;15;Incentivos al rendimiento;1.625,16;1.625.160,00
;150;Productividad;1.172,38;1.172.380,00
;151;Gratificaciones;5,74;5.740,00
;154;Otras gratificaciones por Actos de Estado;447,04;447.040,00
;16000;Seguridad Social;11.341,65;11.341.650,00
;16200;Formación y perfeccionamiento del personal;136,2;136.200,00
;16204;Acción social;111,25;111.250,00
;;TOTAL GASTOS DE PERSONAL;59.914,58;59.914.580,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
;22109;Labores Fábrica Nacional Moneda y Timbre;1;1.000,00
;22601;Atenciones protocolarias y representativas;5;5.000,00
;22611;Gastos protocolarios y representativos derivados de actos institucionales;73,5;73.500,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;42.083,82;42.083.820,00
;3;GASTOS FINANCIEROS;;
;35;Intereses de demora y otros gastos financieros;20;20.000,00
;359;Otros gastos financieros;20;20.000,00
;;TOTAL GASTOS FINANCIEROS;20;20.000,00
;4;TRANSFERENCIAS CORRIENTES;;
;48;A familias e instituciones sin fines de lucro;210;210.000,00
;482;Becas;90;90.000,00
;483;Convenio Monasterio de Yuste;70;70.000,00
;484;Pensiones a personal laboral;50;50.000,00
;49;Al exterior;13,54;13.540,00
;490;Cuota a la Asociación de Residencias Reales Europeas (ARRE);8,8;8.800,00
;491;Cuota al Consejo Internacional de Museos (ICOM);0,63;630
;492;Cuota a la Asociación para la Defensa de los Monumentos y de los Sitios Histórico-Artísticos;3;3.000,00
;493;Cuota al Consejo Internacional de Restauradores de arte holandés y flamenco (CODART);1;1.000,00
;494;Cuota al Centro Internacional de Estudios de Telas Antiguas (CIETA);0,11;110
;;TOTAL TRANSFERENCIAS CORRIENTES;223,54;223.540,00
;6;INVERSIONES REALES;17.899,78;17.899.780,00
;7;TRANSFERENCIAS DE CAPITAL;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;500;500.000,00
;741;"A la Sociedad ""Hipódromo de la Zarzuela, S.A."". Deudas de ejercicios anteriores";500;500.000,00
;;TOTAL TRANSFERENCIAS DE CAPITAL;500;500.000,00
;8;ACTIVOS FINANCIEROS;;
;83;Concesión de préstamos fuera del Sector Público;440;440.000,00
;830;Préstamos a corto plazo;40;40.000,00
;831;Préstamos a largo plazo;400;400.000,00
;;TOTAL ACTIVOS FINANCIEROS;440;440.000,00
;9;PASIVOS FINANCIEROS;;
;94;Devolución de depósitos y fianzas;50;50.000,00
;941;Devolución de fianzas;50;50.000,00
;;TOTAL PASIVOS FINANCIEROS;50;50.000,00
;;TOTAL Administración del Patrimonio Histórico-Nacional;121.131,72;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
