Orgánica;Económica;Explicación;Total;Euros
13.105;;CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;;
;1;GASTOS DE PERSONAL;;
;16000;Seguridad Social;300;300.000,00
;16204;Acción social;10;10.000,00
;;TOTAL GASTOS DE PERSONAL;997,2;997.200,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.330,29;2.330.290,00
;3;GASTOS FINANCIEROS;;
;35;Intereses de demora y otros gastos financieros;5;5.000,00
;359;Otros gastos financieros;5;5.000,00
;;TOTAL GASTOS FINANCIEROS;5;5.000,00
;4;TRANSFERENCIAS CORRIENTES;;
;48;A familias e instituciones sin fines de lucro;990;990.000,00
;485;Ayudas a las comunidades de los Reales Patronatos;840;840.000,00
;486;Subvención a entidades o programas de apoyo a enfermos y familiares afectados;150;150.000,00
;;TOTAL TRANSFERENCIAS CORRIENTES;990;990.000,00
;6;INVERSIONES REALES;1.171,52;1.171.520,00
;8;ACTIVOS FINANCIEROS;;
;83;Concesión de préstamos fuera del Sector Público;7,5;7.500,00
;830;Préstamos a corto plazo;2,5;2.500,00
;831;Préstamos a largo plazo;5;5.000,00
;;TOTAL ACTIVOS FINANCIEROS;7,5;7.500,00
;9;PASIVOS FINANCIEROS;;
;94;Devolución de depósitos y fianzas;10;10.000,00
;941;Devolución de fianzas;10;10.000,00
;;TOTAL PASIVOS FINANCIEROS;10;10.000,00
;;TOTAL Administración de los Reales Patronatos;5.511,51;5.511.510,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
