Orgánica;Económica;Explicación;Total;Euros
13.07;;PRESIDENTE DEL GOBIERNO;;
;1;GASTOS DE PERSONAL;;
;10;Altos cargos;1.336,16;1.336.160,00
;11;Personal eventual;18.030,00;18.030.000,00
;12;Funcionarios;5.544,99;5.544.990,00
;13;Laborales;1.502,76;1.502.760,00
;15;Incentivos al rendimiento;6.045,03;6.045.030,00
;150;Productividad;5.899,00;5.899.000,00
;151;Gratificaciones;146,03;146.030,00
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.066,22;5.066.220,00
;16000;Seguridad Social;4.884,34;4.884.340,00
;16200;Formación y perfeccionamiento del personal;75;75.000,00
;;TOTAL GASTOS DE PERSONAL;37.525,16;37.525.160,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
;20;Arrendamientos y cánones;115,3;115.300,00
;21;Reparaciones, mantenimiento y conservación;1.726,11;1.726.110,00
;22;Material, suministros y otros;7.070,87;7.070.870,00
;22502;Locales;146,97;146.970,00
;22601;Atenciones protocolarias y representativas;275;275.000,00
;22611;Gastos protocolarios y representativos derivados de actos institucionales;50;50.000,00
;23;Indemnizaciones por razón del servicio;5.024,00;5.024.000,00
;25;Conciertos de asistencia sanitaria;150;150.000,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.086,28;14.086.280,00
;4;TRANSFERENCIAS CORRIENTES;;
;48;A familias e instituciones sin fines de lucro;298,32;298.320,00
;480;Dotación ex-Presidentes del Gobierno (R.D. 405/92);298,32;298.320,00
;;TOTAL TRANSFERENCIAS CORRIENTES;298,32;298.320,00
;6;INVERSIONES REALES;3.684,64;3.684.640,00
;;TOTAL PRESIDENTE DEL GOBIERNO;55.594,40;55.594.400,00
;;TOTAL Presidencia del Gobierno;55.594,40;55.594.400,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
