Económica;Explicación;13.303;Total;Euros (€)
1;GASTOS DE PERSONAL;20.696,39;20.696,39;20.696.390,00
10;Altos cargos;104,47;104,47;104.470,00
12;Funcionarios;4.625,90;4.625,90;4.625.900,00
13;Laborales;9.932,72;9.932,72;9.932.720,00
15;Incentivos al rendimiento;853,97;853,97;853.970,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.179,33;5.179,33;5.179.330,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.096,43;9.096,43;9.096.430,00
20;Arrendamientos y cánones;10;10;10.000,00
21;Reparaciones, mantenimiento y conservación;1.465,15;1.465,15;1.465.150,00
22;Material, suministros y otros;4.869,12;4.869,12;4.869.120,00
23;Indemnizaciones por razón del servicio;65;65;65.000,00
27;Compras, suministros y otros gastos;2.687,16;2.687,16;2.687.160,00
3;GASTOS FINANCIEROS;8;8;8.000,00
35;Intereses de demora y otros gastos financieros;8;8;8.000,00
4;TRANSFERENCIAS CORRIENTES;368;368;368.000,00
45;A Comunidades Autónomas;273;273;273.000,00
48;A familias e instituciones sin fines de lucro;95;95;95.000,00
6;INVERSIONES REALES;1.815,92;1.815,92;1.815.920,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;284,54;284,54;284.540,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;731,38;731,38;731.380,00
64;Gastos de inversiones de carácter inmaterial;800;800;800.000,00
8;ACTIVOS FINANCIEROS;140;140;140.000,00
83;Concesión de préstamos fuera del Sector Público;140;140;140.000,00
;TOTAL Programa 921R Publicidad de las normas legales;32.124,74;32.124,74;32.124.740,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
